set;number;no_foil;foil
tmoc;1;false;false
tmoc;2;false;false
tmoc;3;false;false
tmoc;4;false;false
tmoc;5;false;false
tmoc;6;false;false
tmoc;7;false;false
tmoc;8;false;false
tmoc;9;false;false
tmoc;10;false;false
tmoc;11;false;false
tmoc;12;false;false
tmoc;13;false;false
tmoc;14;false;false
tmoc;15;false;false
tmoc;16;false;false
tmoc;17;false;false
tmoc;18;false;false
tmoc;19;false;false
tmoc;20;false;false
tmoc;21;false;false
tmoc;22;false;false
tmoc;23;false;false
tmoc;24;false;false
tmoc;25;false;false
tmoc;26;false;false
tmoc;27;false;false
tmoc;28;false;false
tmoc;29;false;false
tmoc;30;false;false
tmoc;31;false;false
tmoc;32;false;false
tmoc;33;false;false
tmoc;34;false;false
tmoc;35;false;false
tmoc;36;false;false
tmoc;37;false;false
tmoc;38;false;false
tmoc;39;false;false
tmoc;40;false;false
tmoc;41;false;false
tmoc;42;false;false
tmoc;43;false;false
tmoc;44;false;false
tmoc;45;false;false
tmoc;46;false;false
