set;number;no_foil;foil
tmp;1;false;false
tmp;2;false;false
tmp;3;false;false
tmp;4;false;false
tmp;5;false;false
tmp;6;false;false
tmp;7;false;false
tmp;8;false;false
tmp;9;false;false
tmp;10;false;false
tmp;11;false;false
tmp;12;false;false
tmp;13;false;false
tmp;14;false;false
tmp;15;false;false
tmp;16;false;false
tmp;17;false;false
tmp;18;false;false
tmp;19;false;false
tmp;20;false;false
tmp;21;false;false
tmp;22;false;false
tmp;23;false;false
tmp;24;false;false
tmp;25;false;false
tmp;26;false;false
tmp;27;false;false
tmp;28;false;false
tmp;29;false;false
tmp;30;false;false
tmp;31;false;false
tmp;32;false;false
tmp;33;false;false
tmp;34;false;false
tmp;35;false;false
tmp;36;false;false
tmp;37;false;false
tmp;38;false;false
tmp;39;false;false
tmp;40;false;false
tmp;41;false;false
tmp;42;false;false
tmp;43;false;false
tmp;44;false;false
tmp;45;false;false
tmp;46;false;false
tmp;47;false;false
tmp;48;false;false
tmp;49;false;false
tmp;50;false;false
tmp;51;false;false
tmp;52;false;false
tmp;53;false;false
tmp;54;false;false
tmp;55;false;false
tmp;56;false;false
tmp;57;false;false
tmp;58;false;false
tmp;59;false;false
tmp;60;false;false
tmp;61;false;false
tmp;62;false;false
tmp;63;false;false
tmp;64;false;false
tmp;65;false;false
tmp;66;false;false
tmp;67;false;false
tmp;68;false;false
tmp;69;false;false
tmp;70;false;false
tmp;71;false;false
tmp;72;false;false
tmp;73;false;false
tmp;74;false;false
tmp;75;false;false
tmp;76;false;false
tmp;77;false;false
tmp;78;false;false
tmp;79;false;false
tmp;80;false;false
tmp;81;false;false
tmp;82;false;false
tmp;83;false;false
tmp;84;false;false
tmp;85;false;false
tmp;86;false;false
tmp;87;false;false
tmp;88;false;false
tmp;89;false;false
tmp;90;false;false
tmp;91;false;false
tmp;92;false;false
tmp;93;false;false
tmp;94;false;false
tmp;95;false;false
tmp;96;false;false
tmp;97;false;false
tmp;98;false;false
tmp;99;false;false
tmp;100;false;false
tmp;101;false;false
tmp;102;false;false
tmp;103;false;false
tmp;104;false;false
tmp;105;false;false
tmp;106;false;false
tmp;107;false;false
tmp;108;false;false
tmp;109;false;false
tmp;110;false;false
tmp;111;false;false
tmp;112;false;false
tmp;113;false;false
tmp;114;false;false
tmp;115;false;false
tmp;116;false;false
tmp;117;false;false
tmp;118;false;false
tmp;119;false;false
tmp;120;false;false
tmp;121;false;false
tmp;122;false;false
tmp;123;false;false
tmp;124;false;false
tmp;125;false;false
tmp;126;false;false
tmp;127;false;false
tmp;128;false;false
tmp;129;false;false
tmp;130;false;false
tmp;131;false;false
tmp;132;false;false
tmp;133;false;false
tmp;134;false;false
tmp;135;false;false
tmp;136;false;false
tmp;137;false;false
tmp;138;false;false
tmp;139;false;false
tmp;140;false;false
tmp;141;false;false
tmp;142;false;false
tmp;143;false;false
tmp;144;false;false
tmp;145;false;false
tmp;146;false;false
tmp;147;false;false
tmp;148;false;false
tmp;149;false;false
tmp;150;false;false
tmp;151;false;false
tmp;152;false;false
tmp;153;false;false
tmp;154;false;false
tmp;155;false;false
tmp;156;false;false
tmp;157;false;false
tmp;158;false;false
tmp;159;false;false
tmp;160;false;false
tmp;161;false;false
tmp;162;false;false
tmp;163;false;false
tmp;164;false;false
tmp;165;false;false
tmp;166;false;false
tmp;167;false;false
tmp;168;false;false
tmp;169;false;false
tmp;170;false;false
tmp;171;false;false
tmp;172;false;false
tmp;173;false;false
tmp;174;false;false
tmp;175;false;false
tmp;176;false;false
tmp;177;false;false
tmp;178;false;false
tmp;179;false;false
tmp;180;false;false
tmp;181;false;false
tmp;182;false;false
tmp;183;false;false
tmp;184;false;false
tmp;185;false;false
tmp;186;false;false
tmp;187;false;false
tmp;188;false;false
tmp;189;false;false
tmp;190;false;false
tmp;191;false;false
tmp;192;false;false
tmp;193;false;false
tmp;194;false;false
tmp;195;false;false
tmp;196;false;false
tmp;197;false;false
tmp;198;false;false
tmp;199;false;false
tmp;200;false;false
tmp;201;false;false
tmp;202;false;false
tmp;203;false;false
tmp;204;false;false
tmp;205;false;false
tmp;206;false;false
tmp;207;false;false
tmp;208;false;false
tmp;209;false;false
tmp;210;false;false
tmp;211;false;false
tmp;212;false;false
tmp;213;false;false
tmp;214;false;false
tmp;215;false;false
tmp;216;false;false
tmp;217;false;false
tmp;218;false;false
tmp;219;false;false
tmp;220;false;false
tmp;221;false;false
tmp;222;false;false
tmp;223;false;false
tmp;224;false;false
tmp;225;false;false
tmp;226;false;false
tmp;227;false;false
tmp;228;false;false
tmp;229;false;false
tmp;230;false;false
tmp;231;false;false
tmp;232;false;false
tmp;233;false;false
tmp;234;false;false
tmp;235;false;false
tmp;236;false;false
tmp;237;false;false
tmp;238;false;false
tmp;239;false;false
tmp;240;false;false
tmp;241;false;false
tmp;242;false;false
tmp;243;false;false
tmp;244;false;false
tmp;245;false;false
tmp;246;false;false
tmp;247;false;false
tmp;248;false;false
tmp;249;false;false
tmp;250;false;false
tmp;251;false;false
tmp;252;false;false
tmp;253;false;false
tmp;254;false;false
tmp;255;false;false
tmp;256;false;false
tmp;257;false;false
tmp;258;false;false
tmp;259;false;false
tmp;260;false;false
tmp;261;false;false
tmp;262;false;false
tmp;263;false;false
tmp;264;false;false
tmp;265;false;false
tmp;266;false;false
tmp;267;false;false
tmp;268;false;false
tmp;269;false;false
tmp;270;false;false
tmp;271;false;false
tmp;272;false;false
tmp;273;false;false
tmp;274;false;false
tmp;275;false;false
tmp;276;false;false
tmp;277;false;false
tmp;278;false;false
tmp;279;false;false
tmp;280;false;false
tmp;281;false;false
tmp;282;false;false
tmp;283;false;false
tmp;284;false;false
tmp;285;false;false
tmp;286;false;false
tmp;287;false;false
tmp;288;false;false
tmp;289;false;false
tmp;290;false;false
tmp;291;false;false
tmp;292;false;false
tmp;293;false;false
tmp;294;false;false
tmp;295;false;false
tmp;296;false;false
tmp;297;false;false
tmp;298;false;false
tmp;299;false;false
tmp;300;false;false
tmp;301;false;false
tmp;302;false;false
tmp;303;false;false
tmp;304;false;false
tmp;305;false;false
tmp;306;false;false
tmp;307;false;false
tmp;308;false;false
tmp;309;false;false
tmp;310;false;false
tmp;311;false;false
tmp;312;false;false
tmp;313;false;false
tmp;314;false;false
tmp;315;false;false
tmp;316;false;false
tmp;317;false;false
tmp;318;false;false
tmp;319;false;false
tmp;320;false;false
tmp;321;false;false
tmp;322;false;false
tmp;323;false;false
tmp;324;false;false
tmp;325;false;false
tmp;326;false;false
tmp;327;false;false
tmp;328;false;false
tmp;329;false;false
tmp;330;false;false
tmp;331;false;false
tmp;332;false;false
tmp;333;false;false
tmp;334;false;false
tmp;335;false;false
tmp;336;false;false
tmp;337;false;false
tmp;338;false;false
tmp;339;false;false
tmp;340;false;false
tmp;341;false;false
tmp;342;false;false
tmp;343;false;false
tmp;344;false;false
tmp;345;false;false
tmp;346;false;false
tmp;347;false;false
tmp;348;false;false
tmp;349;false;false
tmp;350;false;false
