set;number;no_foil;foil
tncc;1;false;false
tncc;2;false;false
tncc;3;false;false
tncc;4;false;false
tncc;5;false;false
tncc;6;false;false
tncc;7;false;false
tncc;8;false;false
tncc;9;false;false
tncc;10;false;false
tncc;11;false;false
tncc;12;false;false
tncc;13;false;false
tncc;14;false;false
tncc;15;false;false
tncc;16;false;false
tncc;17;false;false
tncc;18;false;false
tncc;19;false;false
tncc;20;false;false
tncc;21;false;false
tncc;22;false;false
tncc;23;false;false
tncc;24;false;false
tncc;25;false;false
tncc;26;false;false
tncc;27;false;false
tncc;28;false;false
tncc;29;false;false
tncc;30;false;false
tncc;31;false;false
tncc;32;false;false
tncc;33;false;false
tncc;34;false;false
tncc;35;false;false
tncc;36;false;false
