set;number;no_foil;foil
totc;1;false;false
totc;2;false;false
totc;3;false;false
totc;4;false;false
totc;5;false;false
totc;6;false;false
totc;7;false;false
totc;8;false;false
totc;9;false;false
totc;10;false;false
totc;11;false;false
totc;12;false;false
totc;13;false;false
totc;14;false;false
totc;15;false;false
totc;16;false;false
totc;17;false;false
totc;18;false;false
totc;19;false;false
totc;20;false;false
totc;21;false;false
totc;22;false;false
totc;23;false;false
totc;24;false;false
totc;25;false;false
totc;26;false;false
totc;27;false;false
totc;28;false;false
totc;29;false;false
totc;30;false;false
totc;31;false;false
totc;32;false;false
totc;33;false;false
totc;34;false;false
totc;35;false;false
totc;36;false;false
totc;37;false;false
totc;38;false;false
totc;39;false;false
totc;40;false;false
totc;41;false;false
