set;number;no_foil;foil
tpr;1;false;false
tpr;2;false;false
tpr;3;false;false
tpr;4;false;false
tpr;5;false;false
tpr;6;false;false
tpr;7;false;false
tpr;8;false;false
tpr;9;false;false
tpr;10;false;false
tpr;11;false;false
tpr;12;false;false
tpr;13;false;false
tpr;14;false;false
tpr;15;false;false
tpr;16;false;false
tpr;17;false;false
tpr;18;false;false
tpr;19;false;false
tpr;20;false;false
tpr;21;false;false
tpr;22;false;false
tpr;23;false;false
tpr;24;false;false
tpr;25;false;false
tpr;26;false;false
tpr;27;false;false
tpr;28;false;false
tpr;29;false;false
tpr;30;false;false
tpr;31;false;false
tpr;32;false;false
tpr;33;false;false
tpr;34;false;false
tpr;35;false;false
tpr;36;false;false
tpr;37;false;false
tpr;38;false;false
tpr;39;false;false
tpr;40;false;false
tpr;41;false;false
tpr;42;false;false
tpr;43;false;false
tpr;44;false;false
tpr;45;false;false
tpr;46;false;false
tpr;47;false;false
tpr;48;false;false
tpr;49;false;false
tpr;50;false;false
tpr;51;false;false
tpr;52;false;false
tpr;53;false;false
tpr;54;false;false
tpr;55;false;false
tpr;56;false;false
tpr;57;false;false
tpr;58;false;false
tpr;59;false;false
tpr;60;false;false
tpr;61;false;false
tpr;62;false;false
tpr;63;false;false
tpr;64;false;false
tpr;65;false;false
tpr;66;false;false
tpr;67;false;false
tpr;68;false;false
tpr;69;false;false
tpr;70;false;false
tpr;71;false;false
tpr;72;false;false
tpr;73;false;false
tpr;74;false;false
tpr;75;false;false
tpr;76;false;false
tpr;77;false;false
tpr;78;false;false
tpr;79;false;false
tpr;80;false;false
tpr;81;false;false
tpr;82;false;false
tpr;83;false;false
tpr;84;false;false
tpr;85;false;false
tpr;86;false;false
tpr;87;false;false
tpr;88;false;false
tpr;89;false;false
tpr;90;false;false
tpr;91;false;false
tpr;92;false;false
tpr;93;false;false
tpr;94;false;false
tpr;95;false;false
tpr;96;false;false
tpr;97;false;false
tpr;98;false;false
tpr;99;false;false
tpr;100;false;false
tpr;101;false;false
tpr;102;false;false
tpr;103;false;false
tpr;104;false;false
tpr;105;false;false
tpr;106;false;false
tpr;107;false;false
tpr;108;false;false
tpr;109;false;false
tpr;110;false;false
tpr;111;false;false
tpr;112;false;false
tpr;113;false;false
tpr;114;false;false
tpr;115;false;false
tpr;116;false;false
tpr;117;false;false
tpr;118;false;false
tpr;119;false;false
tpr;120;false;false
tpr;121;false;false
tpr;122;false;false
tpr;123;false;false
tpr;124;false;false
tpr;125;false;false
tpr;126;false;false
tpr;127;false;false
tpr;128;false;false
tpr;129;false;false
tpr;130;false;false
tpr;131;false;false
tpr;132;false;false
tpr;133;false;false
tpr;134;false;false
tpr;135;false;false
tpr;136;false;false
tpr;137;false;false
tpr;138;false;false
tpr;139;false;false
tpr;140;false;false
tpr;141;false;false
tpr;142;false;false
tpr;143;false;false
tpr;144;false;false
tpr;145;false;false
tpr;146;false;false
tpr;147;false;false
tpr;148;false;false
tpr;149;false;false
tpr;150;false;false
tpr;151;false;false
tpr;152;false;false
tpr;153;false;false
tpr;154;false;false
tpr;155;false;false
tpr;156;false;false
tpr;157;false;false
tpr;158;false;false
tpr;159;false;false
tpr;160;false;false
tpr;161;false;false
tpr;162;false;false
tpr;163;false;false
tpr;164;false;false
tpr;165;false;false
tpr;166;false;false
tpr;167;false;false
tpr;168;false;false
tpr;169;false;false
tpr;170;false;false
tpr;171;false;false
tpr;172;false;false
tpr;173;false;false
tpr;174;false;false
tpr;175;false;false
tpr;176;false;false
tpr;177;false;false
tpr;178;false;false
tpr;179;false;false
tpr;180;false;false
tpr;181;false;false
tpr;182;false;false
tpr;183;false;false
tpr;184;false;false
tpr;185;false;false
tpr;186;false;false
tpr;187;false;false
tpr;188;false;false
tpr;189;false;false
tpr;190;false;false
tpr;191;false;false
tpr;192;false;false
tpr;193;false;false
tpr;194;false;false
tpr;195;false;false
tpr;196;false;false
tpr;197;false;false
tpr;198;false;false
tpr;199;false;false
tpr;200;false;false
tpr;201;false;false
tpr;202;false;false
tpr;203;false;false
tpr;204;false;false
tpr;205;false;false
tpr;206;false;false
tpr;207;false;false
tpr;208;false;false
tpr;209;false;false
tpr;210;false;false
tpr;211;false;false
tpr;212;false;false
tpr;213;false;false
tpr;214;false;false
tpr;215;false;false
tpr;216;false;false
tpr;217;false;false
tpr;218;false;false
tpr;219;false;false
tpr;220;false;false
tpr;221;false;false
tpr;222;false;false
tpr;223;false;false
tpr;224;false;false
tpr;225;false;false
tpr;226;false;false
tpr;227;false;false
tpr;228;false;false
tpr;229;false;false
tpr;230;false;false
tpr;231;false;false
tpr;232;false;false
tpr;233;false;false
tpr;234;false;false
tpr;235;false;false
tpr;236;false;false
tpr;237;false;false
tpr;238;false;false
tpr;239;false;false
tpr;240;false;false
tpr;241;false;false
tpr;242;false;false
tpr;243;false;false
tpr;244;false;false
tpr;245;false;false
tpr;246;false;false
tpr;247;false;false
tpr;248;false;false
tpr;249;false;false
tpr;250;false;false
tpr;251;false;false
tpr;252;false;false
tpr;253;false;false
tpr;254;false;false
tpr;255;false;false
tpr;256;false;false
tpr;257;false;false
tpr;258;false;false
tpr;259;false;false
tpr;260;false;false
tpr;261;false;false
tpr;262;false;false
tpr;263;false;false
tpr;264;false;false
tpr;265;false;false
tpr;266;false;false
tpr;267;false;false
tpr;268;false;false
tpr;269;false;false
