set;number;no_foil;foil
tscd;1;false;false
tscd;2;false;false
tscd;3;false;false
tscd;4;false;false
tscd;5;false;false
tscd;6;false;false
tscd;7;false;false
tscd;8;false;false
tscd;9;false;false
tscd;10;false;false
tscd;11;false;false
tscd;12;false;false
tscd;13;false;false
tscd;14;false;false
tscd;15;false;false
tscd;16;false;false
tscd;17;false;false
tscd;18;false;false
tscd;19;false;false
tscd;20;false;false
tscd;21;false;false
tscd;22;false;false
tscd;23;false;false
tscd;24;false;false
tscd;25;false;false
tscd;26;false;false
tscd;27;false;false
