set;number;no_foil;foil
tsp;1;false;false
tsp;2;false;false
tsp;3;false;false
tsp;4;false;false
tsp;5;false;false
tsp;6;false;false
tsp;7;false;false
tsp;8;false;false
tsp;9;false;false
tsp;10;false;false
tsp;11;false;false
tsp;12;false;false
tsp;13;false;false
tsp;14;false;false
tsp;15;false;false
tsp;16;false;false
tsp;17;false;false
tsp;18;false;false
tsp;19;false;false
tsp;20;false;false
tsp;21;false;false
tsp;22;false;false
tsp;23;false;false
tsp;24;false;false
tsp;25;false;false
tsp;26;false;false
tsp;27;false;false
tsp;28;false;false
tsp;29;false;false
tsp;30;false;false
tsp;31;false;false
tsp;32;false;false
tsp;33;false;false
tsp;34;false;false
tsp;35;false;false
tsp;36;false;false
tsp;37;false;false
tsp;38;false;false
tsp;39;false;false
tsp;40;false;false
tsp;41;false;false
tsp;42;false;false
tsp;43;false;false
tsp;44;false;false
tsp;45;false;false
tsp;46;false;false
tsp;47;false;false
tsp;48;false;false
tsp;49;false;false
tsp;50;false;false
tsp;51;false;false
tsp;52;false;false
tsp;53;false;false
tsp;54;false;false
tsp;55;false;false
tsp;56;false;false
tsp;57;false;false
tsp;58;false;false
tsp;59;false;false
tsp;60;false;false
tsp;61;false;false
tsp;62;false;false
tsp;63;false;false
tsp;64;false;false
tsp;65;false;false
tsp;66;false;false
tsp;67;false;false
tsp;68;false;false
tsp;69;false;false
tsp;70;false;false
tsp;71;false;false
tsp;72;false;false
tsp;73;false;false
tsp;74;false;false
tsp;75;false;false
tsp;76;false;false
tsp;77;false;false
tsp;78;false;false
tsp;79;false;false
tsp;80;false;false
tsp;81;false;false
tsp;82;false;false
tsp;83;false;false
tsp;84;false;false
tsp;85;false;false
tsp;86;false;false
tsp;87;false;false
tsp;88;false;false
tsp;89;false;false
tsp;90;false;false
tsp;91;false;false
tsp;92;false;false
tsp;93;false;false
tsp;94;false;false
tsp;95;false;false
tsp;96;false;false
tsp;97;false;false
tsp;98;false;false
tsp;99;false;false
tsp;100;false;false
tsp;101;false;false
tsp;102;false;false
tsp;103;false;false
tsp;104;false;false
tsp;105;false;false
tsp;106;false;false
tsp;107;false;false
tsp;108;false;false
tsp;109;false;false
tsp;110;false;false
tsp;111;false;false
tsp;112;false;false
tsp;113;false;false
tsp;114;false;false
tsp;115;false;false
tsp;116;false;false
tsp;117;false;false
tsp;118;false;false
tsp;119;false;false
tsp;120;false;false
tsp;121;false;false
tsp;122;false;false
tsp;123;false;false
tsp;124;false;false
tsp;125;false;false
tsp;126;false;false
tsp;127;false;false
tsp;128;false;false
tsp;129;false;false
tsp;130;false;false
tsp;131;false;false
tsp;132;false;false
tsp;133;false;false
tsp;134;false;false
tsp;135;false;false
tsp;136;false;false
tsp;137;false;false
tsp;138;false;false
tsp;139;false;false
tsp;140;false;false
tsp;141;false;false
tsp;142;false;false
tsp;143;false;false
tsp;144;false;false
tsp;145;false;false
tsp;146;false;false
tsp;147;false;false
tsp;148;false;false
tsp;149;false;false
tsp;150;false;false
tsp;151;false;false
tsp;152;false;false
tsp;153;false;false
tsp;154;false;false
tsp;155;false;false
tsp;156;false;false
tsp;157;false;false
tsp;158;false;false
tsp;159;false;false
tsp;160;false;false
tsp;161;false;false
tsp;162;false;false
tsp;163;false;false
tsp;164;false;false
tsp;165;false;false
tsp;166;false;false
tsp;167;false;false
tsp;168;false;false
tsp;169;false;false
tsp;170;false;false
tsp;171;false;false
tsp;172;false;false
tsp;173;false;false
tsp;174;false;false
tsp;175;false;false
tsp;176;false;false
tsp;177;false;false
tsp;178;false;false
tsp;179;false;false
tsp;180;false;false
tsp;181;false;false
tsp;182;false;false
tsp;183;false;false
tsp;184;false;false
tsp;185;false;false
tsp;186;false;false
tsp;187;false;false
tsp;188;false;false
tsp;189;false;false
tsp;190;false;false
tsp;191;false;false
tsp;192;false;false
tsp;193;false;false
tsp;194;false;false
tsp;195;false;false
tsp;196;false;false
tsp;197;false;false
tsp;198;false;false
tsp;199;false;false
tsp;200;false;false
tsp;201;false;false
tsp;202;false;false
tsp;203;false;false
tsp;204;false;false
tsp;205;false;false
tsp;206;false;false
tsp;207;false;false
tsp;208;false;false
tsp;209;false;false
tsp;210;false;false
tsp;211;false;false
tsp;212;false;false
tsp;213;false;false
tsp;214;false;false
tsp;215;false;false
tsp;216;false;false
tsp;217;false;false
tsp;218;false;false
tsp;219;false;false
tsp;220;false;false
tsp;221;false;false
tsp;222;false;false
tsp;223;false;false
tsp;224;false;false
tsp;225;false;false
tsp;226;false;false
tsp;227;false;false
tsp;228;false;false
tsp;229;false;false
tsp;230;false;false
tsp;231;false;false
tsp;232;false;false
tsp;233;false;false
tsp;234;false;false
tsp;235;false;false
tsp;236;false;false
tsp;237;false;false
tsp;238;false;false
tsp;239;false;false
tsp;240;false;false
tsp;241;false;false
tsp;242;false;false
tsp;243;false;false
tsp;244;false;false
tsp;245;false;false
tsp;246;false;false
tsp;247;false;false
tsp;248;false;false
tsp;249;false;false
tsp;250;false;false
tsp;251;false;false
tsp;252;false;false
tsp;253;false;false
tsp;254;false;false
tsp;255;false;false
tsp;256;false;false
tsp;257;false;false
tsp;258;false;false
tsp;259;false;false
tsp;260;false;false
tsp;261;false;false
tsp;262;false;false
tsp;263;false;false
tsp;264;false;false
tsp;265;false;false
tsp;266;false;false
tsp;267;false;false
tsp;268;false;false
tsp;269;false;false
tsp;270;false;false
tsp;271;false;false
tsp;272;false;false
tsp;273;false;false
tsp;274;false;false
tsp;275;false;false
tsp;276;false;false
tsp;277;false;false
tsp;278;false;false
tsp;279;false;false
tsp;280;false;false
tsp;281;false;false
tsp;282;false;false
tsp;283;false;false
tsp;284;false;false
tsp;285;false;false
tsp;286;false;false
tsp;287;false;false
tsp;288;false;false
tsp;289;false;false
tsp;290;false;false
tsp;291;false;false
tsp;292;false;false
tsp;293;false;false
tsp;294;false;false
tsp;295;false;false
tsp;296;false;false
tsp;297;false;false
tsp;298;false;false
tsp;299;false;false
tsp;300;false;false
tsp;301;false;false
