set;number;no_foil;foil
tsr;1;false;false
tsr;2;false;false
tsr;3;false;false
tsr;4;false;false
tsr;5;false;false
tsr;6;false;false
tsr;7;false;false
tsr;8;false;false
tsr;9;false;false
tsr;10;false;false
tsr;11;false;false
tsr;12;false;false
tsr;13;false;false
tsr;14;false;false
tsr;15;false;false
tsr;16;false;false
tsr;17;false;false
tsr;18;false;false
tsr;19;false;false
tsr;20;false;false
tsr;21;false;false
tsr;22;false;false
tsr;23;false;false
tsr;24;false;false
tsr;25;false;false
tsr;26;false;false
tsr;27;false;false
tsr;28;false;false
tsr;29;false;false
tsr;30;false;false
tsr;31;false;false
tsr;32;false;false
tsr;33;false;false
tsr;34;false;false
tsr;35;false;false
tsr;36;false;false
tsr;37;false;false
tsr;38;false;false
tsr;39;false;false
tsr;40;false;false
tsr;41;false;false
tsr;42;false;false
tsr;43;false;false
tsr;44;false;false
tsr;45;false;false
tsr;46;false;false
tsr;47;false;false
tsr;48;false;false
tsr;49;false;false
tsr;50;false;false
tsr;51;false;false
tsr;52;false;false
tsr;53;false;false
tsr;54;false;false
tsr;55;false;false
tsr;56;false;false
tsr;57;false;false
tsr;58;false;false
tsr;59;false;false
tsr;60;false;false
tsr;61;false;false
tsr;62;false;false
tsr;63;false;false
tsr;64;false;false
tsr;65;false;false
tsr;66;false;false
tsr;67;false;false
tsr;68;false;false
tsr;69;false;false
tsr;70;false;false
tsr;71;false;false
tsr;72;false;false
tsr;73;false;false
tsr;74;false;false
tsr;75;false;false
tsr;76;false;false
tsr;77;false;false
tsr;78;false;false
tsr;79;false;false
tsr;80;false;false
tsr;81;false;false
tsr;82;false;false
tsr;83;false;false
tsr;84;false;false
tsr;85;false;false
tsr;86;false;false
tsr;87;false;false
tsr;88;false;false
tsr;89;false;false
tsr;90;false;false
tsr;91;false;false
tsr;92;false;false
tsr;93;false;false
tsr;94;false;false
tsr;95;false;false
tsr;96;false;false
tsr;97;false;false
tsr;98;false;false
tsr;99;false;false
tsr;100;false;false
tsr;101;false;false
tsr;102;false;false
tsr;103;false;false
tsr;104;false;false
tsr;105;false;false
tsr;106;false;false
tsr;107;false;false
tsr;108;false;false
tsr;109;false;false
tsr;110;false;false
tsr;111;false;false
tsr;112;false;false
tsr;113;false;false
tsr;114;false;false
tsr;115;false;false
tsr;116;false;false
tsr;117;false;false
tsr;118;false;false
tsr;119;false;false
tsr;120;false;false
tsr;121;false;false
tsr;122;false;false
tsr;123;false;false
tsr;124;false;false
tsr;125;false;false
tsr;126;false;false
tsr;127;false;false
tsr;128;false;false
tsr;129;false;false
tsr;130;false;false
tsr;131;false;false
tsr;132;false;false
tsr;133;false;false
tsr;134;false;false
tsr;135;false;false
tsr;136;false;false
tsr;137;false;false
tsr;138;false;false
tsr;139;false;false
tsr;140;false;false
tsr;141;false;false
tsr;142;false;false
tsr;143;false;false
tsr;144;false;false
tsr;145;false;false
tsr;146;false;false
tsr;147;false;false
tsr;148;false;false
tsr;149;false;false
tsr;150;false;false
tsr;151;false;false
tsr;152;false;false
tsr;153;false;false
tsr;154;false;false
tsr;155;false;false
tsr;156;false;false
tsr;157;false;false
tsr;158;false;false
tsr;159;false;false
tsr;160;false;false
tsr;161;false;false
tsr;162;false;false
tsr;163;false;false
tsr;164;false;false
tsr;165;false;false
tsr;166;false;false
tsr;167;false;false
tsr;168;false;false
tsr;169;false;false
tsr;170;false;false
tsr;171;false;false
tsr;172;false;false
tsr;173;false;false
tsr;174;false;false
tsr;175;false;false
tsr;176;false;false
tsr;177;false;false
tsr;178;false;false
tsr;179;false;false
tsr;180;false;false
tsr;181;false;false
tsr;182;false;false
tsr;183;false;false
tsr;184;false;false
tsr;185;false;false
tsr;186;false;false
tsr;187;false;false
tsr;188;false;false
tsr;189;false;false
tsr;190;false;false
tsr;191;false;false
tsr;192;false;false
tsr;193;false;false
tsr;194;false;false
tsr;195;false;false
tsr;196;false;false
tsr;197;false;false
tsr;198;false;false
tsr;199;false;false
tsr;200;false;false
tsr;201;false;false
tsr;202;false;false
tsr;203;false;false
tsr;204;false;false
tsr;205;false;false
tsr;206;false;false
tsr;207;false;false
tsr;208;false;false
tsr;209;false;false
tsr;210;false;false
tsr;211;false;false
tsr;212;false;false
tsr;213;false;false
tsr;214;false;false
tsr;215;false;false
tsr;216;false;false
tsr;217;false;false
tsr;218;false;false
tsr;219;false;false
tsr;220;false;false
tsr;221;false;false
tsr;222;false;false
tsr;223;false;false
tsr;224;false;false
tsr;225;false;false
tsr;226;false;false
tsr;227;false;false
tsr;228;false;false
tsr;229;false;false
tsr;230;false;false
tsr;231;false;false
tsr;232;false;false
tsr;233;false;false
tsr;234;false;false
tsr;235;false;false
tsr;236;false;false
tsr;237;false;false
tsr;238;false;false
tsr;239;false;false
tsr;240;false;false
tsr;241;false;false
tsr;242;false;false
tsr;243;false;false
tsr;244;false;false
tsr;245;false;false
tsr;246;false;false
tsr;247;false;false
tsr;248;false;false
tsr;249;false;false
tsr;250;false;false
tsr;251;false;false
tsr;252;false;false
tsr;253;false;false
tsr;254;false;false
tsr;255;false;false
tsr;256;false;false
tsr;257;false;false
tsr;258;false;false
tsr;259;false;false
tsr;260;false;false
tsr;261;false;false
tsr;262;false;false
tsr;263;false;false
tsr;264;false;false
tsr;265;false;false
tsr;266;false;false
tsr;267;false;false
tsr;268;false;false
tsr;269;false;false
tsr;270;false;false
tsr;271;false;false
tsr;272;false;false
tsr;273;false;false
tsr;274;false;false
tsr;275;false;false
tsr;276;false;false
tsr;277;false;false
tsr;278;false;false
tsr;279;false;false
tsr;280;false;false
tsr;281;false;false
tsr;282;false;false
tsr;283;false;false
tsr;284;false;false
tsr;285;false;false
tsr;286;false;false
tsr;287;false;false
tsr;288;false;false
tsr;289;false;false
tsr;290;false;false
tsr;291;false;false
tsr;292;false;false
tsr;293;false;false
tsr;294;false;false
tsr;295;false;false
tsr;296;false;false
tsr;297;false;false
tsr;298;false;false
tsr;299;false;false
tsr;300;false;false
tsr;301;false;false
tsr;302;false;false
tsr;303;false;false
tsr;304;false;false
tsr;305;false;false
tsr;306;false;false
tsr;307;false;false
tsr;308;false;false
tsr;309;false;false
tsr;310;false;false
tsr;311;false;false
tsr;312;false;false
tsr;313;false;false
tsr;314;false;false
tsr;315;false;false
tsr;316;false;false
tsr;317;false;false
tsr;318;false;false
tsr;319;false;false
tsr;320;false;false
tsr;321;false;false
tsr;322;false;false
tsr;323;false;false
tsr;324;false;false
tsr;325;false;false
tsr;326;false;false
tsr;327;false;false
tsr;328;false;false
tsr;329;false;false
tsr;330;false;false
tsr;331;false;false
tsr;332;false;false
tsr;333;false;false
tsr;334;false;false
tsr;335;false;false
tsr;336;false;false
tsr;337;false;false
tsr;338;false;false
tsr;339;false;false
tsr;340;false;false
tsr;341;false;false
tsr;342;false;false
tsr;343;false;false
tsr;344;false;false
tsr;345;false;false
tsr;346;false;false
tsr;347;false;false
tsr;348;false;false
tsr;349;false;false
tsr;350;false;false
tsr;351;false;false
tsr;352;false;false
tsr;353;false;false
tsr;354;false;false
tsr;355;false;false
tsr;356;false;false
tsr;357;false;false
tsr;358;false;false
tsr;359;false;false
tsr;360;false;false
tsr;361;false;false
tsr;362;false;false
tsr;363;false;false
tsr;364;false;false
tsr;365;false;false
tsr;366;false;false
tsr;367;false;false
tsr;368;false;false
tsr;369;false;false
tsr;370;false;false
tsr;371;false;false
tsr;372;false;false
tsr;373;false;false
tsr;374;false;false
tsr;375;false;false
tsr;376;false;false
tsr;377;false;false
tsr;378;false;false
tsr;379;false;false
tsr;380;false;false
tsr;381;false;false
tsr;382;false;false
tsr;383;false;false
tsr;384;false;false
tsr;385;false;false
tsr;386;false;false
tsr;387;false;false
tsr;388;false;false
tsr;389;false;false
tsr;390;false;false
tsr;391;false;false
tsr;392;false;false
tsr;393;false;false
tsr;394;false;false
tsr;395;false;false
tsr;396;false;false
tsr;397;false;false
tsr;398;false;false
tsr;399;false;false
tsr;400;false;false
tsr;401;false;false
tsr;402;false;false
tsr;403;false;false
tsr;404;false;false
tsr;405;false;false
tsr;406;false;false
tsr;407;false;false
tsr;408;false;false
tsr;409;false;false
tsr;410;false;false
tsr;411;false;false
