set;number;no_foil;foil
ttdc;1;false;false
ttdc;2;false;false
ttdc;3;false;false
ttdc;4;false;false
ttdc;5;false;false
ttdc;6;false;false
ttdc;7;false;false
ttdc;8;false;false
ttdc;9;false;false
ttdc;10;false;false
ttdc;11;false;false
ttdc;12;false;false
ttdc;13;false;false
ttdc;14;false;false
ttdc;15;false;false
ttdc;16;false;false
ttdc;17;false;false
ttdc;18;false;false
ttdc;19;false;false
ttdc;20;false;false
ttdc;21;false;false
ttdc;22;false;false
ttdc;23;false;false
ttdc;24;false;false
ttdc;25;false;false
ttdc;26;false;false
ttdc;27;false;false
ttdc;28;false;false
ttdc;29;false;false
ttdc;30;false;false
ttdc;31;false;false
ttdc;32;false;false
ttdc;33;false;false
ttdc;34;false;false
