set;number;no_foil;foil
twho;1;false;false
twho;2;false;false
twho;3;false;false
twho;4;false;false
twho;5;false;false
twho;6;false;false
twho;7;false;false
twho;8;false;false
twho;9;false;false
twho;10;false;false
twho;11;false;false
twho;12;false;false
twho;13;false;false
twho;14;false;false
twho;15;false;false
twho;16;false;false
twho;17;false;false
twho;18;false;false
twho;19;false;false
twho;20;false;false
twho;21;false;false
twho;22;false;false
twho;23;false;false
twho;24;false;false
twho;25;false;false
twho;26;false;false
twho;27;false;false
twho;28;false;false
twho;29;false;false
twho;30;false;false
twho;31;false;false
twho;32;false;false
twho;33;false;false
twho;34;false;false
twho;35;false;false
twho;36;false;false
twho;37;false;false
twho;38;false;false
twho;39;false;false
twho;40;false;false
twho;41;false;false
twho;42;false;false
twho;43;false;false
twho;44;false;false
twho;45;false;false
twho;46;false;false
twho;47;false;false
twho;48;false;false
twho;49;false;false
twho;50;false;false
twho;51;false;false
twho;52;false;false
twho;53;false;false
twho;54;false;false
twho;55;false;false
twho;56;false;false
twho;57;false;false
twho;58;false;false
twho;59;false;false
twho;60;false;false
twho;61;false;false
twho;62;false;false
twho;63;false;false
twho;64;false;false
