set;number;no_foil;foil
uds;1;false;false
uds;2;false;false
uds;3;false;false
uds;4;false;false
uds;5;false;false
uds;6;false;false
uds;7;false;false
uds;8;false;false
uds;9;false;false
uds;10;false;false
uds;11;false;false
uds;12;false;false
uds;13;false;false
uds;14;false;false
uds;15;false;false
uds;16;false;false
uds;17;false;false
uds;18;false;false
uds;19;false;false
uds;20;false;false
uds;21;false;false
uds;22;false;false
uds;23;false;false
uds;24;false;false
uds;25;false;false
uds;26;false;false
uds;27;false;false
uds;28;false;false
uds;29;false;false
uds;30;false;false
uds;31;false;false
uds;32;false;false
uds;33;false;false
uds;34;false;false
uds;35;false;false
uds;36;false;false
uds;37;false;false
uds;38;false;false
uds;39;false;false
uds;40;false;false
uds;41;false;false
uds;42;false;false
uds;43;false;false
uds;44;false;false
uds;45;false;false
uds;46;false;false
uds;47;false;false
uds;48;false;false
uds;49;false;false
uds;50;false;false
uds;51;false;false
uds;52;false;false
uds;53;false;false
uds;54;false;false
uds;55;false;false
uds;56;false;false
uds;57;false;false
uds;58;false;false
uds;59;false;false
uds;60;false;false
uds;61;false;false
uds;62;false;false
uds;63;false;false
uds;64;false;false
uds;65;false;false
uds;66;false;false
uds;67;false;false
uds;68;false;false
uds;69;false;false
uds;70;false;false
uds;71;false;false
uds;72;false;false
uds;73;false;false
uds;74;false;false
uds;75;false;false
uds;76;false;false
uds;77;false;false
uds;78;false;false
uds;79;false;false
uds;80;false;false
uds;81;false;false
uds;82;false;false
uds;83;false;false
uds;84;false;false
uds;85;false;false
uds;86;false;false
uds;87;false;false
uds;88;false;false
uds;89;false;false
uds;90;false;false
uds;91;false;false
uds;92;false;false
uds;93;false;false
uds;94;false;false
uds;95;false;false
uds;96;false;false
uds;97;false;false
uds;98;false;false
uds;99;false;false
uds;100;false;false
uds;101;false;false
uds;102;false;false
uds;103;false;false
uds;104;false;false
uds;105;false;false
uds;106;false;false
uds;107;false;false
uds;108;false;false
uds;109;false;false
uds;110;false;false
uds;111;false;false
uds;112;false;false
uds;113;false;false
uds;114;false;false
uds;115;false;false
uds;116;false;false
uds;117;false;false
uds;118;false;false
uds;119;false;false
uds;120;false;false
uds;121;false;false
uds;122;false;false
uds;123;false;false
uds;124;false;false
uds;125;false;false
uds;126;false;false
uds;127;false;false
uds;128;false;false
uds;129;false;false
uds;130;false;false
uds;131;false;false
uds;132;false;false
uds;133;false;false
uds;134;false;false
uds;135;false;false
uds;136;false;false
uds;137;false;false
uds;138;false;false
uds;139;false;false
uds;140;false;false
uds;141;false;false
uds;142;false;false
uds;143;false;false
