set;number;no_foil;foil
ugin;1;false;false
ugin;19;false;false
ugin;24;false;false
ugin;26;false;false
ugin;30;false;false
ugin;36;false;false
ugin;46;false;false
ugin;48;false;false
ugin;59;false;false
ugin;68;false;false
ugin;73;false;false
ugin;85;false;false
ugin;88;false;false
ugin;96;false;false
ugin;97;false;false
ugin;98;false;false
ugin;113;false;false
ugin;123;false;false
ugin;129;false;false
ugin;131;false;false
ugin;146;false;false
ugin;161;false;false
ugin;164;false;false
ugin;216;false;false
ugin;217;false;false
ugin;220;false;false
