set;number;no_foil;foil
ugl;1;false;false
ugl;2;false;false
ugl;3;false;false
ugl;4;false;false
ugl;5;false;false
ugl;6;false;false
ugl;7;false;false
ugl;8;false;false
ugl;9;false;false
ugl;10;false;false
ugl;11;false;false
ugl;12;false;false
ugl;13;false;false
ugl;14;false;false
ugl;15;false;false
ugl;16;false;false
ugl;17;false;false
ugl;18;false;false
ugl;19;false;false
ugl;20;false;false
ugl;21;false;false
ugl;22;false;false
ugl;23;false;false
ugl;24;false;false
ugl;25;false;false
ugl;26;false;false
ugl;27;false;false
ugl;28;false;false
ugl;29;false;false
ugl;30;false;false
ugl;31;false;false
ugl;32;false;false
ugl;33;false;false
ugl;34;false;false
ugl;35;false;false
ugl;36;false;false
ugl;37;false;false
ugl;38;false;false
ugl;39;false;false
ugl;40;false;false
ugl;41;false;false
ugl;42;false;false
ugl;43;false;false
ugl;44;false;false
ugl;45;false;false
ugl;46;false;false
ugl;47;false;false
ugl;48;false;false
ugl;49;false;false
ugl;50;false;false
ugl;51;false;false
ugl;52;false;false
ugl;53;false;false
ugl;54;false;false
ugl;55;false;false
ugl;56;false;false
ugl;57;false;false
ugl;58;false;false
ugl;59;false;false
ugl;60;false;false
ugl;61;false;false
ugl;62;false;false
ugl;63;false;false
ugl;64;false;false
ugl;65;false;false
ugl;66;false;false
ugl;67;false;false
ugl;68;false;false
ugl;69;false;false
ugl;70;false;false
ugl;71;false;false
ugl;72;false;false
ugl;73;false;false
ugl;74;false;false
ugl;75;false;false
ugl;76;false;false
ugl;77;false;false
ugl;78;false;false
ugl;79;false;false
ugl;80;false;false
ugl;81;false;false
ugl;82;false;false
ugl;83;false;false
ugl;84;false;false
ugl;85;false;false
ugl;86;false;false
ugl;87;false;false
ugl;88;false;false
