set;number;no_foil;foil
ulst;1;false;false
ulst;2;false;false
ulst;3;false;false
ulst;4;false;false
ulst;5;false;false
ulst;6;false;false
ulst;7;false;false
ulst;8;false;false
ulst;9;false;false
ulst;10;false;false
ulst;11;false;false
ulst;12;false;false
ulst;13;false;false
ulst;14;false;false
ulst;15;false;false
ulst;16;false;false
ulst;17;false;false
ulst;18;false;false
ulst;19;false;false
ulst;20;false;false
ulst;21;false;false
ulst;22;false;false
ulst;23;false;false
ulst;24;false;false
ulst;25;false;false
ulst;26;false;false
ulst;27;false;false
ulst;28;false;false
ulst;29;false;false
ulst;30;false;false
ulst;31;false;false
ulst;32;false;false
ulst;33;false;false
ulst;34;false;false
ulst;36;false;false
ulst;37;false;false
ulst;38;false;false
ulst;39;false;false
ulst;40;false;false
ulst;41;false;false
ulst;42;false;false
ulst;43;false;false
ulst;44;false;false
ulst;45;false;false
ulst;46;false;false
ulst;47;false;false
ulst;48;false;false
ulst;49;false;false
ulst;50;false;false
ulst;51;false;false
ulst;52;false;false
ulst;53;false;false
ulst;54;false;false
ulst;55;false;false
ulst;56;false;false
ulst;57;false;false
ulst;58;false;false
ulst;59;false;false
ulst;60;false;false
ulst;61;false;false
ulst;62;false;false
ulst;108;false;false
