set;number;no_foil;foil
uma;1;false;false
uma;2;false;false
uma;3;false;false
uma;4;false;false
uma;5;false;false
uma;6;false;false
uma;7;false;false
uma;8;false;false
uma;9;false;false
uma;10;false;false
uma;11;false;false
uma;12;false;false
uma;13;false;false
uma;14;false;false
uma;15;false;false
uma;16;false;false
uma;17;false;false
uma;18;false;false
uma;19;false;false
uma;20;false;false
uma;21;false;false
uma;22;false;false
uma;23;false;false
uma;24;false;false
uma;25;false;false
uma;26;false;false
uma;27;false;false
uma;28;false;false
uma;29;false;false
uma;30;false;false
uma;31;false;false
uma;32;false;false
uma;33;false;false
uma;34;false;false
uma;35;false;false
uma;36;false;false
uma;37;false;false
uma;38;false;false
uma;39;false;false
uma;40;false;false
uma;41;false;false
uma;42;false;false
uma;43;false;false
uma;44;false;false
uma;45;false;false
uma;46;false;false
uma;47;false;false
uma;48;false;false
uma;49;false;false
uma;50;false;false
uma;51;false;false
uma;52;false;false
uma;53;false;false
uma;54;false;false
uma;55;false;false
uma;56;false;false
uma;57;false;false
uma;58;false;false
uma;59;false;false
uma;60;false;false
uma;61;false;false
uma;62;false;false
uma;63;false;false
uma;64;false;false
uma;65;false;false
uma;66;false;false
uma;67;false;false
uma;68;false;false
uma;69;false;false
uma;70;false;false
uma;71;false;false
uma;72;false;false
uma;73;false;false
uma;74;false;false
uma;75;false;false
uma;76;false;false
uma;77;false;false
uma;78;false;false
uma;79;false;false
uma;80;false;false
uma;81;false;false
uma;82;false;false
uma;83;false;false
uma;84;false;false
uma;85;false;false
uma;86;false;false
uma;87;false;false
uma;88;false;false
uma;89;false;false
uma;90;false;false
uma;91;false;false
uma;92;false;false
uma;93;false;false
uma;94;false;false
uma;95;false;false
uma;96;false;false
uma;97;false;false
uma;98;false;false
uma;99;false;false
uma;100;false;false
uma;101;false;false
uma;102;false;false
uma;103;false;false
uma;104;false;false
uma;105;false;false
uma;106;false;false
uma;107;false;false
uma;108;false;false
uma;109;false;false
uma;110;false;false
uma;111;false;false
uma;112;false;false
uma;113;false;false
uma;114;false;false
uma;115;false;false
uma;116;false;false
uma;117;false;false
uma;118;false;false
uma;119;false;false
uma;120;false;false
uma;121;false;false
uma;122;false;false
uma;123;false;false
uma;124;false;false
uma;125;false;false
uma;126;false;false
uma;127;false;false
uma;128;false;false
uma;129;false;false
uma;130;false;false
uma;131;false;false
uma;132;false;false
uma;133;false;false
uma;134;false;false
uma;135;false;false
uma;136;false;false
uma;137;false;false
uma;138;false;false
uma;139;false;false
uma;140;false;false
uma;141;false;false
uma;142;false;false
uma;143;false;false
uma;144;false;false
uma;145;false;false
uma;146;false;false
uma;147;false;false
uma;148;false;false
uma;149;false;false
uma;150;false;false
uma;151;false;false
uma;152;false;false
uma;153;false;false
uma;154;false;false
uma;155;false;false
uma;156;false;false
uma;157;false;false
uma;158;false;false
uma;159;false;false
uma;160;false;false
uma;161;false;false
uma;162;false;false
uma;163;false;false
uma;164;false;false
uma;165;false;false
uma;166;false;false
uma;167;false;false
uma;168;false;false
uma;169;false;false
uma;170;false;false
uma;171;false;false
uma;172;false;false
uma;173;false;false
uma;174;false;false
uma;175;false;false
uma;176;false;false
uma;177;false;false
uma;178;false;false
uma;179;false;false
uma;180;false;false
uma;181;false;false
uma;182;false;false
uma;183;false;false
uma;184;false;false
uma;185;false;false
uma;186;false;false
uma;187;false;false
uma;188;false;false
uma;189;false;false
uma;190;false;false
uma;191;false;false
uma;192;false;false
uma;193;false;false
uma;194;false;false
uma;195;false;false
uma;196;false;false
uma;197;false;false
uma;198;false;false
uma;199;false;false
uma;200;false;false
uma;201;false;false
uma;202;false;false
uma;203;false;false
uma;204;false;false
uma;205;false;false
uma;206;false;false
uma;207;false;false
uma;208;false;false
uma;209;false;false
uma;210;false;false
uma;211;false;false
uma;212;false;false
uma;213;false;false
uma;214;false;false
uma;215;false;false
uma;216;false;false
uma;217;false;false
uma;218;false;false
uma;219;false;false
uma;220;false;false
uma;221;false;false
uma;222;false;false
uma;223;false;false
uma;224;false;false
uma;225;false;false
uma;226;false;false
uma;227;false;false
uma;228;false;false
uma;229;false;false
uma;230;false;false
uma;231;false;false
uma;232;false;false
uma;233;false;false
uma;234;false;false
uma;235;false;false
uma;236;false;false
uma;237;false;false
uma;238;false;false
uma;239;false;false
uma;240;false;false
uma;241;false;false
uma;242;false;false
uma;243;false;false
uma;244;false;false
uma;245;false;false
uma;246;false;false
uma;247;false;false
uma;248;false;false
uma;249;false;false
uma;250;false;false
uma;251;false;false
uma;252;false;false
uma;253;false;false
uma;254;false;false
