set;number;no_foil;foil
und;1;false;false
und;2;false;false
und;3;false;false
und;4;false;false
und;5;false;false
und;6;false;false
und;7;false;false
und;8;false;false
und;9;false;false
und;10;false;false
und;11;false;false
und;12;false;false
und;13;false;false
und;14;false;false
und;15;false;false
und;16;false;false
und;17;false;false
und;18;false;false
und;19;false;false
und;20;false;false
und;21;false;false
und;22;false;false
und;23;false;false
und;24;false;false
und;25;false;false
und;26;false;false
und;27;false;false
und;28;false;false
und;29;false;false
und;30;false;false
und;31;false;false
und;32;false;false
und;33;false;false
und;34;false;false
und;35;false;false
und;36;false;false
und;37;false;false
und;38;false;false
und;39;false;false
und;40;false;false
und;41;false;false
und;42;false;false
und;43;false;false
und;44;false;false
und;45;false;false
und;46;false;false
und;47;false;false
und;48;false;false
und;49;false;false
und;50;false;false
und;51;false;false
und;52;false;false
und;53;false;false
und;54;false;false
und;55;false;false
und;56;false;false
und;57;false;false
und;58;false;false
und;59;false;false
und;60;false;false
und;61;false;false
und;62;false;false
und;63;false;false
und;64;false;false
und;65;false;false
und;66;false;false
und;67;false;false
und;68;false;false
und;69;false;false
und;70;false;false
und;71;false;false
und;72;false;false
und;73;false;false
und;74;false;false
und;75;false;false
und;76;false;false
und;77;false;false
und;78;false;false
und;79;false;false
und;80;false;false
und;81;false;false
und;82;false;false
und;83;false;false
und;84;false;false
und;85;false;false
und;86;false;false
und;87;false;false
und;88;false;false
und;89;false;false
und;90;false;false
und;91;false;false
und;92;false;false
und;93;false;false
und;94;false;false
und;95;false;false
und;96;false;false
