set;number;no_foil;foil
unf;1;false;false
unf;2;false;false
unf;3;false;false
unf;4;false;false
unf;5;false;false
unf;6;false;false
unf;7;false;false
unf;8;false;false
unf;9;false;false
unf;10;false;false
unf;11;false;false
unf;12;false;false
unf;13;false;false
unf;14;false;false
unf;15;false;false
unf;16;false;false
unf;17;false;false
unf;18;false;false
unf;19;false;false
unf;20;false;false
unf;21;false;false
unf;22;false;false
unf;23;false;false
unf;24;false;false
unf;25;false;false
unf;26;false;false
unf;27;false;false
unf;28;false;false
unf;29;false;false
unf;30;false;false
unf;31;false;false
unf;32;false;false
unf;33;false;false
unf;34;false;false
unf;35;false;false
unf;36;false;false
unf;37;false;false
unf;38;false;false
unf;39;false;false
unf;40;false;false
unf;41;false;false
unf;42;false;false
unf;43;false;false
unf;44;false;false
unf;45;false;false
unf;46;false;false
unf;47;false;false
unf;48;false;false
unf;49;false;false
unf;50;false;false
unf;51;false;false
unf;52;false;false
unf;53;false;false
unf;54;false;false
unf;55;false;false
unf;56;false;false
unf;57;false;false
unf;58;false;false
unf;59;false;false
unf;60;false;false
unf;61;false;false
unf;62;false;false
unf;63;false;false
unf;64;false;false
unf;65;false;false
unf;66;false;false
unf;67;false;false
unf;68;false;false
unf;69;false;false
unf;70;false;false
unf;71;false;false
unf;72;false;false
unf;73;false;false
unf;74;false;false
unf;75;false;false
unf;76;false;false
unf;77;false;false
unf;78;false;false
unf;79;false;false
unf;80;false;false
unf;81;false;false
unf;82;false;false
unf;83;false;false
unf;84;false;false
unf;85;false;false
unf;86;false;false
unf;87;false;false
unf;88;false;false
unf;89;false;false
unf;90;false;false
unf;91;false;false
unf;92;false;false
unf;93;false;false
unf;94;false;false
unf;95;false;false
unf;96;false;false
unf;97;false;false
unf;98;false;false
unf;99;false;false
unf;100;false;false
unf;101;false;false
unf;102;false;false
unf;103;false;false
unf;104;false;false
unf;105;false;false
unf;106;false;false
unf;107;false;false
unf;107m;false;false
unf;108;false;false
unf;109;false;false
unf;110;false;false
unf;111;false;false
unf;112;false;false
unf;113;false;false
unf;114;false;false
unf;115;false;false
unf;116;false;false
unf;117;false;false
unf;118;false;false
unf;119;false;false
unf;120;false;false
unf;121;false;false
unf;122;false;false
unf;123;false;false
unf;124;false;false
unf;125;false;false
unf;126;false;false
unf;127;false;false
unf;128;false;false
unf;129;false;false
unf;130;false;false
unf;131;false;false
unf;132;false;false
unf;133;false;false
unf;134;false;false
unf;135;false;false
unf;136;false;false
unf;137;false;false
unf;138;false;false
unf;139;false;false
unf;140;false;false
unf;141;false;false
unf;142;false;false
unf;143;false;false
unf;144;false;false
unf;145;false;false
unf;146;false;false
unf;147;false;false
unf;148;false;false
unf;149;false;false
unf;150;false;false
unf;151;false;false
unf;152;false;false
unf;153;false;false
unf;154;false;false
unf;155;false;false
unf;156;false;false
unf;157;false;false
unf;158;false;false
unf;159;false;false
unf;160;false;false
unf;161;false;false
unf;162;false;false
unf;163;false;false
unf;164;false;false
unf;165;false;false
unf;166;false;false
unf;167;false;false
unf;168;false;false
unf;169;false;false
unf;170;false;false
unf;171;false;false
unf;172;false;false
unf;173;false;false
unf;174;false;false
unf;175;false;false
unf;176;false;false
unf;177;false;false
unf;178;false;false
unf;179;false;false
unf;180;false;false
unf;181;false;false
unf;182;false;false
unf;183;false;false
unf;184;false;false
unf;185;false;false
unf;186;false;false
unf;187;false;false
unf;188;false;false
unf;189;false;false
unf;190;false;false
unf;191;false;false
unf;192;false;false
unf;193;false;false
unf;194;false;false
unf;195;false;false
unf;196;false;false
unf;197;false;false
unf;198;false;false
unf;199;false;false
unf;200a;false;false
unf;200b;false;false
unf;200c;false;false
unf;200d;false;false
unf;201a;false;false
unf;201b;false;false
unf;201c;false;false
unf;201d;false;false
unf;202a;false;false
unf;202b;false;false
unf;202c;false;false
unf;202d;false;false
unf;202e;false;false
unf;202f;false;false
unf;203a;false;false
