set;number;no_foil;foil
unh;1;false;false
unh;2;false;false
unh;2★;false;false
unh;3;false;false
unh;4;false;false
unh;4★;false;false
unh;5;false;false
unh;6;false;false
unh;7;false;false
unh;8;false;false
unh;9;false;false
unh;9★;false;false
unh;10;false;false
unh;11;false;false
unh;12;false;false
unh;13;false;false
unh;14;false;false
unh;15;false;false
unh;16;false;false
unh;17;false;false
unh;18;false;false
unh;19;false;false
unh;20;false;false
unh;20★;false;false
unh;21;false;false
unh;22;false;false
unh;23;false;false
unh;24;false;false
unh;25;false;false
unh;26;false;false
unh;27;false;false
unh;28;false;false
unh;29;false;false
unh;30;false;false
unh;31;false;false
unh;32;false;false
unh;33;false;false
unh;34;false;false
unh;34★;false;false
unh;35;false;false
unh;36;false;false
unh;37;false;false
unh;38;false;false
unh;39;false;false
unh;40;false;false
unh;41;false;false
unh;42;false;false
unh;43;false;false
unh;43★;false;false
unh;44;false;false
unh;44★;false;false
unh;45;false;false
unh;46;false;false
unh;47;false;false
unh;48;false;false
unh;48★;false;false
unh;49;false;false
unh;49★;false;false
unh;50;false;false
unh;51;false;false
unh;52;false;false
unh;53;false;false
unh;54;false;false
unh;55;false;false
unh;56;false;false
unh;56★;false;false
unh;57;false;false
unh;58;false;false
unh;59;false;false
unh;60;false;false
unh;61;false;false
unh;62;false;false
unh;63;false;false
unh;64;false;false
unh;65;false;false
unh;66;false;false
unh;67;false;false
unh;67★;false;false
unh;68;false;false
unh;69;false;false
unh;70;false;false
unh;71;false;false
unh;72;false;false
unh;72★;false;false
unh;73;false;false
unh;74;false;false
unh;75;false;false
unh;76;false;false
unh;77;false;false
unh;77★;false;false
unh;78;false;false
unh;78★;false;false
unh;79;false;false
unh;80;false;false
unh;81;false;false
unh;82;false;false
unh;82★;false;false
unh;83;false;false
unh;84;false;false
unh;85;false;false
unh;86;false;false
unh;87;false;false
unh;88;false;false
unh;89;false;false
unh;90;false;false
unh;90★;false;false
unh;91;false;false
unh;92;false;false
unh;93;false;false
unh;94;false;false
unh;95;false;false
unh;96;false;false
unh;97;false;false
unh;98;false;false
unh;99;false;false
unh;100;false;false
unh;101;false;false
unh;101★;false;false
unh;102;false;false
unh;103;false;false
unh;103★;false;false
unh;104;false;false
unh;104★;false;false
unh;105;false;false
unh;106;false;false
unh;106★;false;false
unh;107;false;false
unh;108;false;false
unh;109;false;false
unh;109★;false;false
unh;110;false;false
unh;111;false;false
unh;112;false;false
unh;113;false;false
unh;114;false;false
unh;115;false;false
unh;116;false;false
unh;117;false;false
unh;118;false;false
unh;119;false;false
unh;120;false;false
unh;121;false;false
unh;121★;false;false
unh;122;false;false
unh;122★;false;false
unh;123;false;false
unh;123★;false;false
unh;124;false;false
unh;124★;false;false
unh;125;false;false
unh;125★;false;false
unh;126;false;false
unh;127;false;false
unh;128;false;false
unh;128★;false;false
unh;129;false;false
unh;130;false;false
unh;131;false;false
unh;132;false;false
unh;133;false;false
unh;134;false;false
unh;135;false;false
unh;136;false;false
unh;137;false;false
unh;138;false;false
unh;139;false;false
unh;140;false;false
unh;141;false;false
