set;number;no_foil;foil
unk;CA01;false;false
unk;CA02a;false;false
unk;CA02b;false;false
unk;CA02c;false;false
unk;CA03;false;false
unk;CA06a;false;false
unk;CA06b;false;false
unk;CA11;false;false
unk;CA11b;false;false
unk;CA12;false;false
unk;CAa;false;false
unk;CAb;false;false
unk;CB02;false;false
unk;CB02a;false;false
unk;CB02b;false;false
unk;CB03;false;false
unk;CB05;false;false
unk;CB11;false;false
unk;CB11a;false;false
unk;CB12;false;false
unk;CB13;false;false
unk;CB13b;false;false
unk;CC01;false;false
unk;CG02a;false;false
unk;CG02b;false;false
unk;CG03a;false;false
unk;CG03b;false;false
unk;CG03c;false;false
unk;CG03d;false;false
unk;CG04;false;false
unk;CG05a;false;false
unk;CG07;false;false
unk;CG12;false;false
unk;CG13;false;false
unk;CG14;false;false
unk;CL01;false;false
unk;CL01a;false;false
unk;CL01b;false;false
unk;CL03a;false;false
unk;CL03b;false;false
unk;CL04;false;false
unk;CR02;false;false
unk;CR03c;false;false
unk;CR03d;false;false
unk;CR04a;false;false
unk;CR04b;false;false
unk;CR04c;false;false
unk;CR11a;false;false
unk;CR12a;false;false
unk;CR13;false;false
unk;CR14a;false;false
unk;CR14b;false;false
unk;CR15a;false;false
unk;CU01;false;false
unk;CU03;false;false
unk;CU04;false;false
unk;CU04a;false;false
unk;CU04b;false;false
unk;CU04d;false;false
unk;CU11;false;false
unk;CU12;false;false
unk;CU12a;false;false
unk;CU12b;false;false
unk;CU13;false;false
unk;CW01;false;false
unk;CW02;false;false
unk;CW03;false;false
unk;CW05;false;false
unk;CW11;false;false
unk;CW12;false;false
unk;MA30;false;false
unk;MG01;false;false
unk;MR01;false;false
unk;MU03;false;false
unk;MW02;false;false
unk;MW02a;false;false
unk;MZ01;false;false
unk;MZ02;false;false
unk;MZ03;false;false
unk;MZ03a;false;false
unk;MZ05;false;false
unk;MZ05a;false;false
unk;MZ99;false;false
unk;PLA001;false;false
unk;PLA001a;false;false
unk;PLA002;false;false
unk;PLA002a;false;false
unk;PLA003;false;false
unk;PLA003a;false;false
unk;PLA004;false;false
unk;PLA004a;false;false
unk;PLA005;false;false
unk;PLA005a;false;false
unk;PLA006;false;false
unk;PLA007;false;false
unk;PLA008;false;false
unk;PLA009;false;false
unk;PLA009a;false;false
unk;PLA010;false;false
unk;PLA011;false;false
unk;PLA012;false;false
unk;PLA013;false;false
unk;PLA014;false;false
unk;PLA015;false;false
unk;PLA016;false;false
unk;PLA017;false;false
unk;PLA018;false;false
unk;PLA019;false;false
unk;PLA020;false;false
unk;PLA021;false;false
unk;PLA022;false;false
unk;PLA023;false;false
unk;PLA024;false;false
unk;PLA025;false;false
unk;PLA026;false;false
unk;PLA027;false;false
unk;PLA028;false;false
unk;PLA029;false;false
unk;PLA030;false;false
unk;PLA031;false;false
unk;PLA032;false;false
unk;PLA033;false;false
unk;PLA034;false;false
unk;PLA035;false;false
unk;PLA036;false;false
unk;PLA037;false;false
unk;PLA038;false;false
unk;PLA039;false;false
unk;PLA040;false;false
unk;PLA041;false;false
unk;PLA042;false;false
unk;PLA043;false;false
unk;PLA044;false;false
unk;PLA045;false;false
unk;PLA046;false;false
unk;RA01;false;false
unk;RA02a;false;false
unk;RA02b;false;false
unk;RA02c;false;false
unk;RA02d;false;false
unk;RA03a;false;false
unk;RA03b;false;false
unk;RA03c;false;false
unk;RA03d;false;false
unk;RA05;false;false
unk;RA05a;false;false
unk;RA05b;false;false
unk;RA05c;false;false
unk;RA05d;false;false
unk;RA06a;false;false
unk;RA06b;false;false
unk;RA06c;false;false
unk;RA06d;false;false
unk;RA07a;false;false
unk;RA07b;false;false
unk;RA11a;false;false
unk;RA11b;false;false
unk;RA12a;false;false
unk;RA12b;false;false
unk;RA13;false;false
unk;RA31;false;false
unk;RB02;false;false
unk;RB03;false;false
unk;RB03a;false;false
unk;RB03b;false;false
unk;RB03c;false;false
unk;RB03d;false;false
unk;RB03e;false;false
unk;RB04;false;false
unk;RB04a;false;false
unk;RB04b;false;false
unk;RB04c;false;false
unk;RB04d;false;false
unk;RB04e;false;false
unk;RB04f;false;false
unk;RB04g;false;false
unk;RB05;false;false
unk;RB05a;false;false
unk;RB05b;false;false
unk;RB06;false;false
unk;RB08;false;false
unk;RB13;false;false
unk;RB13a;false;false
unk;RB14;false;false
unk;RB54;false;false
unk;RC01a;false;false
unk;RC01b;false;false
unk;RC01c;false;false
unk;RC01d;false;false
unk;RC02;false;false
unk;RC05a;false;false
unk;RC05b;false;false
unk;RC05c;false;false
unk;RC06;false;false
unk;RC06b;false;false
unk;RC07a;false;false
unk;RC07b;false;false
unk;RC08;false;false
unk;RG01a;false;false
unk;RG01b;false;false
unk;RG02;false;false
unk;RG02a;false;false
unk;RG02b;false;false
unk;RG02c;false;false
unk;RG02d;false;false
unk;RG03a;false;false
unk;RG03b;false;false
unk;RG03c;false;false
unk;RG03d;false;false
unk;RG03e;false;false
unk;RG03f;false;false
unk;RG04;false;false
unk;RG05a;false;false
unk;RG05b;false;false
unk;RG06;false;false
unk;RG06a;false;false
unk;RG06b;false;false
unk;RG07;false;false
unk;RG08;false;false
unk;RG10;false;false
unk;RG11;false;false
unk;RG11a;false;false
unk;RG12a;false;false
unk;RG12b;false;false
unk;RG59;false;false
unk;RG59a;false;false
unk;RG63;false;false
unk;RL01;false;false
unk;RL01a;false;false
unk;RL01b;false;false
unk;RL01c;false;false
unk;RR02;false;false
unk;RR03;false;false
unk;RR03a;false;false
unk;RR03b;false;false
unk;RR04;false;false
unk;RR04a;false;false
unk;RR04b;false;false
unk;RR04c;false;false
unk;RR04d;false;false
unk;RR04e;false;false
unk;RR04f;false;false
unk;RR04g;false;false
unk;RR05;false;false
unk;RR06;false;false
unk;RR06b;false;false
unk;RR07;false;false
unk;RR08a;false;false
unk;RR08b;false;false
unk;RR10;false;false
unk;RR13b;false;false
unk;RR14;false;false
unk;RR15;false;false
unk;RR16;false;false
unk;RR66;false;false
unk;RU02;false;false
unk;RU02a;false;false
unk;RU02c;false;false
unk;RU02d;false;false
unk;RU03a;false;false
unk;RU03b;false;false
unk;RU03c;false;false
unk;RU03d;false;false
unk;RU04;false;false
unk;RU04a;false;false
unk;RU04b;false;false
unk;RU04c;false;false
unk;RU04d;false;false
unk;RU05;false;false
unk;RU05a;false;false
unk;RU05b;false;false
unk;RU05c;false;false
unk;RU06a;false;false
unk;RU07a;false;false
unk;RU07b;false;false
unk;RU08;false;false
unk;RU08a;false;false
unk;RU12;false;false
unk;RU38;false;false
unk;RU42;false;false
unk;RU72;false;false
unk;RW02;false;false
unk;RW02a;false;false
unk;RW02b;false;false
unk;RW02c;false;false
unk;RW02d;false;false
unk;RW03a;false;false
unk;RW03b;false;false
unk;RW03c;false;false
unk;RW03d;false;false
unk;RW03e;false;false
unk;RW03f;false;false
unk;RW03g;false;false
unk;RW03h;false;false
unk;RW04;false;false
unk;RW04a;false;false
unk;RW04b;false;false
unk;RW04c;false;false
unk;RW04d;false;false
unk;RW04e;false;false
unk;RW04f;false;false
unk;RW05a;false;false
unk;RW05b;false;false
unk;RW05c;false;false
unk;RW05d;false;false
unk;RW05e;false;false
unk;RW05f;false;false
unk;RW06;false;false
unk;RW06a;false;false
unk;RW06b;false;false
unk;RW13;false;false
unk;RW15;false;false
unk;RW35;false;false
unk;RW47;false;false
unk;RW90;false;false
unk;RZ01a;false;false
unk;RZ01b;false;false
unk;RZ01c;false;false
unk;RZ02;false;false
unk;RZ02a;false;false
unk;RZ02b;false;false
unk;RZ02c;false;false
unk;RZ02d;false;false
unk;RZ02e;false;false
unk;RZ03;false;false
unk;RZ03a;false;false
unk;RZ03b;false;false
unk;RZ03c;false;false
unk;RZ03d;false;false
unk;RZ03e;false;false
unk;RZ03f;false;false
unk;RZ03g;false;false
unk;RZ03h;false;false
unk;RZ03i;false;false
unk;RZ03j;false;false
unk;RZ03k;false;false
unk;RZ04;false;false
unk;RZ04a;false;false
unk;RZ04b;false;false
unk;RZ04c;false;false
unk;RZ04d;false;false
unk;RZ04e;false;false
unk;RZ04f;false;false
unk;RZ04g;false;false
unk;RZ04h;false;false
unk;RZ04i;false;false
unk;RZ04j;false;false
unk;RZ04k;false;false
unk;RZ04l;false;false
unk;RZ04m;false;false
unk;RZ04n;false;false
unk;RZ04o;false;false
unk;RZ04p;false;false
unk;RZ04q;false;false
unk;RZ04r;false;false
unk;RZ05;false;false
unk;RZ05a;false;false
unk;RZ05b;false;false
unk;RZ05c;false;false
unk;RZ05d;false;false
unk;RZ05e;false;false
unk;RZ05f;false;false
unk;RZ05g;false;false
unk;RZ05h;false;false
unk;RZ05i;false;false
unk;RZ05j;false;false
unk;RZ05k;false;false
unk;RZ06;false;false
unk;RZ06a;false;false
unk;RZ06b;false;false
unk;RZ06c;false;false
unk;RZ06d;false;false
unk;RZ06e;false;false
unk;RZ06f;false;false
unk;RZ07a;false;false
unk;RZ07b;false;false
unk;RZ08a;false;false
unk;RZ08b;false;false
unk;RZ08c;false;false
unk;RZ08d;false;false
unk;RZ09;false;false
unk;RZ10;false;false
