set;number;no_foil;foil
usg;1;false;false
usg;2;false;false
usg;3;false;false
usg;4;false;false
usg;5;false;false
usg;6;false;false
usg;7;false;false
usg;8;false;false
usg;9;false;false
usg;10;false;false
usg;11;false;false
usg;12;false;false
usg;13;false;false
usg;14;false;false
usg;15;false;false
usg;16;false;false
usg;17;false;false
usg;18;false;false
usg;19;false;false
usg;20;false;false
usg;21;false;false
usg;22;false;false
usg;23;false;false
usg;24;false;false
usg;25;false;false
usg;26;false;false
usg;27;false;false
usg;28;false;false
usg;29;false;false
usg;30;false;false
usg;31;false;false
usg;32;false;false
usg;33;false;false
usg;34;false;false
usg;35;false;false
usg;36;false;false
usg;37;false;false
usg;38;false;false
usg;39;false;false
usg;40;false;false
usg;41;false;false
usg;42;false;false
usg;43;false;false
usg;44;false;false
usg;45;false;false
usg;46;false;false
usg;47;false;false
usg;48;false;false
usg;49;false;false
usg;50;false;false
usg;51;false;false
usg;52;false;false
usg;53;false;false
usg;54;false;false
usg;55;false;false
usg;56;false;false
usg;57;false;false
usg;58;false;false
usg;59;false;false
usg;60;false;false
usg;61;false;false
usg;62;false;false
usg;63;false;false
usg;64;false;false
usg;65;false;false
usg;66;false;false
usg;67;false;false
usg;68;false;false
usg;69;false;false
usg;70;false;false
usg;71;false;false
usg;72;false;false
usg;73;false;false
usg;74;false;false
usg;75;false;false
usg;76;false;false
usg;77;false;false
usg;78;false;false
usg;79;false;false
usg;80;false;false
usg;81;false;false
usg;82;false;false
usg;83;false;false
usg;84;false;false
usg;85;false;false
usg;86;false;false
usg;87;false;false
usg;88;false;false
usg;89;false;false
usg;90;false;false
usg;91;false;false
usg;92;false;false
usg;93;false;false
usg;94;false;false
usg;95;false;false
usg;96;false;false
usg;97;false;false
usg;98;false;false
usg;99;false;false
usg;100;false;false
usg;101;false;false
usg;102;false;false
usg;103;false;false
usg;104;false;false
usg;105;false;false
usg;106;false;false
usg;107;false;false
usg;108;false;false
usg;109;false;false
usg;110;false;false
usg;111;false;false
usg;112;false;false
usg;113;false;false
usg;114;false;false
usg;115;false;false
usg;116;false;false
usg;117;false;false
usg;118;false;false
usg;119;false;false
usg;119s;false;false
usg;120;false;false
usg;121;false;false
usg;122;false;false
usg;123;false;false
usg;124;false;false
usg;125;false;false
usg;126;false;false
usg;127;false;false
usg;128;false;false
usg;129;false;false
usg;130;false;false
usg;130s;false;false
usg;131;false;false
usg;132;false;false
usg;133;false;false
usg;134;false;false
usg;135;false;false
usg;136;false;false
usg;137;false;false
usg;138;false;false
usg;139;false;false
usg;139s;false;false
usg;140;false;false
usg;141;false;false
usg;142;false;false
usg;142s;false;false
usg;143;false;false
usg;144;false;false
usg;145;false;false
usg;146;false;false
usg;147;false;false
usg;148;false;false
usg;149;false;false
usg;150;false;false
usg;151;false;false
usg;152;false;false
usg;153;false;false
usg;154;false;false
usg;155;false;false
usg;156;false;false
usg;157;false;false
usg;158;false;false
usg;159;false;false
usg;160;false;false
usg;161;false;false
usg;162;false;false
usg;163;false;false
usg;163s;false;false
usg;164;false;false
usg;164s;false;false
usg;165;false;false
usg;166;false;false
usg;167;false;false
usg;168;false;false
usg;169;false;false
usg;170;false;false
usg;171;false;false
usg;172;false;false
usg;173;false;false
usg;174;false;false
usg;175;false;false
usg;176;false;false
usg;177;false;false
usg;178;false;false
usg;179;false;false
usg;180;false;false
usg;181;false;false
usg;182;false;false
usg;183;false;false
usg;184;false;false
usg;185;false;false
usg;186;false;false
usg;187;false;false
usg;187s;false;false
usg;188;false;false
usg;189;false;false
usg;190;false;false
usg;191;false;false
usg;192;false;false
usg;193;false;false
usg;194;false;false
usg;195;false;false
usg;196;false;false
usg;197;false;false
usg;198;false;false
usg;199;false;false
usg;200;false;false
usg;201;false;false
usg;202;false;false
usg;203;false;false
usg;204;false;false
usg;205;false;false
usg;206;false;false
usg;207;false;false
usg;208;false;false
usg;209;false;false
usg;210;false;false
usg;211;false;false
usg;212;false;false
usg;213;false;false
usg;214;false;false
usg;215;false;false
usg;216;false;false
usg;217;false;false
usg;218;false;false
usg;219;false;false
usg;220;false;false
usg;221;false;false
usg;222;false;false
usg;223;false;false
usg;224;false;false
usg;225;false;false
usg;226;false;false
usg;227;false;false
usg;228;false;false
usg;229;false;false
usg;230;false;false
usg;231;false;false
usg;232;false;false
usg;233;false;false
usg;234;false;false
usg;235;false;false
usg;236;false;false
usg;237;false;false
usg;238;false;false
usg;239;false;false
usg;240;false;false
usg;241;false;false
usg;242;false;false
usg;243;false;false
usg;244;false;false
usg;245;false;false
usg;246;false;false
usg;247;false;false
usg;248;false;false
usg;249;false;false
usg;250;false;false
usg;251;false;false
usg;252;false;false
usg;253;false;false
usg;254;false;false
usg;255;false;false
usg;256;false;false
usg;257;false;false
usg;258;false;false
usg;259;false;false
usg;260;false;false
usg;261;false;false
usg;262;false;false
usg;263;false;false
usg;264;false;false
usg;265;false;false
usg;266;false;false
usg;267;false;false
usg;268;false;false
usg;269;false;false
usg;270;false;false
usg;271;false;false
usg;272;false;false
usg;273;false;false
usg;274;false;false
usg;275;false;false
usg;276;false;false
usg;277;false;false
usg;278;false;false
usg;279;false;false
usg;280;false;false
usg;281;false;false
usg;282;false;false
usg;283;false;false
usg;284;false;false
usg;285;false;false
usg;286;false;false
usg;287;false;false
usg;288;false;false
usg;289;false;false
usg;290;false;false
usg;291;false;false
usg;292;false;false
usg;293;false;false
usg;294;false;false
usg;295;false;false
usg;296;false;false
usg;297;false;false
usg;298;false;false
usg;299;false;false
usg;300;false;false
usg;301;false;false
usg;302;false;false
usg;303;false;false
usg;304;false;false
usg;305;false;false
usg;306;false;false
usg;307;false;false
usg;308;false;false
usg;309;false;false
usg;310;false;false
usg;311;false;false
usg;312;false;false
usg;313;false;false
usg;314;false;false
usg;315;false;false
usg;316;false;false
usg;317;false;false
usg;318;false;false
usg;319;false;false
usg;320;false;false
usg;321;false;false
usg;322;false;false
usg;323;false;false
usg;324;false;false
usg;325;false;false
usg;326;false;false
usg;327;false;false
usg;328;false;false
usg;329;false;false
usg;330;false;false
usg;331;false;false
usg;332;false;false
usg;333;false;false
usg;334;false;false
usg;335;false;false
usg;336;false;false
usg;337;false;false
usg;338;false;false
usg;339;false;false
usg;340;false;false
usg;341;false;false
usg;342;false;false
usg;343;false;false
usg;344;false;false
usg;345;false;false
usg;346;false;false
usg;347;false;false
usg;348;false;false
usg;349;false;false
usg;350;false;false
