set;number;no_foil;foil
ust;1;false;false
ust;2;false;false
ust;3a;false;false
ust;3b;false;false
ust;3c;false;false
ust;3d;false;false
ust;4;false;false
ust;5;false;false
ust;6;false;false
ust;7;false;false
ust;8;false;false
ust;9;false;false
ust;10;false;false
ust;11;false;false
ust;12a;false;false
ust;12b;false;false
ust;12c;false;false
ust;12d;false;false
ust;12e;false;false
ust;12f;false;false
ust;13;false;false
ust;14;false;false
ust;15;false;false
ust;16;false;false
ust;17;false;false
ust;18;false;false
ust;19;false;false
ust;20;false;false
ust;21;false;false
ust;22;false;false
ust;23;false;false
ust;24;false;false
ust;25;false;false
ust;26;false;false
ust;27;false;false
ust;28;false;false
ust;29;false;false
ust;30;false;false
ust;31;false;false
ust;32;false;false
ust;33;false;false
ust;34;false;false
ust;35;false;false
ust;36;false;false
ust;37;false;false
ust;38;false;false
ust;39;false;false
ust;40;false;false
ust;41a;false;false
ust;41b;false;false
ust;41c;false;false
ust;41d;false;false
ust;42;false;false
ust;43;false;false
ust;44;false;false
ust;45;false;false
ust;46;false;false
ust;47;false;false
ust;48;false;false
ust;49a;false;false
ust;49b;false;false
ust;49c;false;false
ust;49d;false;false
ust;49e;false;false
ust;49f;false;false
ust;50;false;false
ust;51;false;false
ust;52;false;false
ust;53;false;false
ust;54a;false;false
ust;54b;false;false
ust;54c;false;false
ust;54d;false;false
ust;55;false;false
ust;56;false;false
ust;57;false;false
ust;58;false;false
ust;59;false;false
ust;60;false;false
ust;61;false;false
ust;62;false;false
ust;63;false;false
ust;64;false;false
ust;65;false;false
ust;66;false;false
ust;67a;false;false
ust;67b;false;false
ust;67c;false;false
ust;67d;false;false
ust;67e;false;false
ust;67f;false;false
ust;68;false;false
ust;69;false;false
ust;70;false;false
ust;71;false;false
ust;72;false;false
ust;73;false;false
ust;74;false;false
ust;75;false;false
ust;76;false;false
ust;77;false;false
ust;78;false;false
ust;79;false;false
ust;80;false;false
ust;81;false;false
ust;82a;false;false
ust;82b;false;false
ust;82c;false;false
ust;82d;false;false
ust;82e;false;false
ust;82f;false;false
ust;83;false;false
ust;84;false;false
ust;85;false;false
ust;86;false;false
ust;87;false;false
ust;88;false;false
ust;89;false;false
ust;90;false;false
ust;91;false;false
ust;92;false;false
ust;93;false;false
ust;94;false;false
ust;95;false;false
ust;96;false;false
ust;97;false;false
ust;98a;false;false
ust;98b;false;false
ust;98c;false;false
ust;98d;false;false
ust;99;false;false
ust;100;false;false
ust;101;false;false
ust;102;false;false
ust;103a;false;false
ust;103b;false;false
ust;103c;false;false
ust;103d;false;false
ust;104;false;false
ust;105;false;false
ust;106;false;false
ust;107;false;false
ust;108;false;false
ust;109;false;false
ust;110;false;false
ust;111;false;false
ust;112;false;false
ust;113a;false;false
ust;113b;false;false
ust;113c;false;false
ust;113d;false;false
ust;113e;false;false
ust;113f;false;false
ust;114;false;false
ust;115;false;false
ust;116;false;false
ust;117;false;false
ust;118;false;false
ust;119;false;false
ust;120;false;false
ust;121;false;false
ust;122;false;false
ust;123;false;false
ust;124;false;false
ust;125;false;false
ust;126;false;false
ust;127;false;false
ust;128;false;false
ust;129;false;false
ust;130;false;false
ust;131;false;false
ust;132;false;false
ust;133;false;false
ust;134;false;false
ust;135;false;false
ust;136;false;false
ust;137;false;false
ust;138;false;false
ust;139;false;false
ust;140;false;false
ust;141;false;false
ust;142;false;false
ust;143;false;false
ust;144;false;false
ust;145a;false;false
ust;145b;false;false
ust;145c;false;false
ust;145d;false;false
ust;146;false;false
ust;147a;false;false
ust;147b;false;false
ust;147c;false;false
ust;147d;false;false
ust;147e;false;false
ust;147f;false;false
ust;148;false;false
ust;149;false;false
ust;150;false;false
ust;151;false;false
ust;152;false;false
ust;153;false;false
ust;154;false;false
ust;155;false;false
ust;156;false;false
ust;157;false;false
ust;158;false;false
ust;159;false;false
ust;160;false;false
ust;161;false;false
ust;162;false;false
ust;163;false;false
ust;164;false;false
ust;165a;false;false
ust;165b;false;false
ust;165c;false;false
ust;165d;false;false
ust;165e;false;false
ust;166;false;false
ust;167;false;false
ust;168;false;false
ust;169;false;false
ust;170;false;false
ust;171;false;false
ust;172;false;false
ust;173;false;false
ust;174;false;false
ust;175;false;false
ust;176;false;false
ust;177;false;false
ust;178;false;false
ust;179;false;false
ust;180;false;false
ust;181;false;false
ust;182;false;false
ust;183;false;false
ust;184;false;false
ust;185;false;false
ust;186;false;false
ust;187;false;false
ust;188;false;false
ust;189;false;false
ust;190;false;false
ust;191;false;false
ust;192;false;false
ust;193;false;false
ust;194;false;false
ust;195;false;false
ust;196;false;false
ust;197;false;false
ust;198;false;false
ust;199;false;false
ust;200;false;false
ust;201;false;false
ust;202;false;false
ust;203;false;false
ust;204;false;false
ust;205;false;false
ust;206;false;false
ust;207;false;false
ust;208;false;false
ust;209;false;false
ust;210;false;false
ust;211;false;false
ust;212;false;false
ust;213;false;false
ust;214;false;false
ust;215;false;false
ust;216;false;false
