set;number;no_foil;foil
vis;1;false;false
vis;2;false;false
vis;3;false;false
vis;4;false;false
vis;5;false;false
vis;6;false;false
vis;7;false;false
vis;8;false;false
vis;9;false;false
vis;10;false;false
vis;11;false;false
vis;12;false;false
vis;13;false;false
vis;14;false;false
vis;15;false;false
vis;16;false;false
vis;17;false;false
vis;18;false;false
vis;19;false;false
vis;20;false;false
vis;21;false;false
vis;22;false;false
vis;23;false;false
vis;24;false;false
vis;25;false;false
vis;26;false;false
vis;27;false;false
vis;28;false;false
vis;29;false;false
vis;30;false;false
vis;31;false;false
vis;32;false;false
vis;33;false;false
vis;34;false;false
vis;35;false;false
vis;36;false;false
vis;37;false;false
vis;38;false;false
vis;39;false;false
vis;40;false;false
vis;41;false;false
vis;42;false;false
vis;43;false;false
vis;44;false;false
vis;45;false;false
vis;46;false;false
vis;47;false;false
vis;48;false;false
vis;49;false;false
vis;50;false;false
vis;51;false;false
vis;52;false;false
vis;53;false;false
vis;54;false;false
vis;55;false;false
vis;56;false;false
vis;57;false;false
vis;58;false;false
vis;59;false;false
vis;60;false;false
vis;61;false;false
vis;62;false;false
vis;63;false;false
vis;64;false;false
vis;65;false;false
vis;66;false;false
vis;67;false;false
vis;68;false;false
vis;69;false;false
vis;70;false;false
vis;71;false;false
vis;72;false;false
vis;73;false;false
vis;74;false;false
vis;75;false;false
vis;76;false;false
vis;77;false;false
vis;78;false;false
vis;79;false;false
vis;80;false;false
vis;81;false;false
vis;82;false;false
vis;83;false;false
vis;84;false;false
vis;85;false;false
vis;86;false;false
vis;87;false;false
vis;88;false;false
vis;89;false;false
vis;90;false;false
vis;91;false;false
vis;92;false;false
vis;93;false;false
vis;94;false;false
vis;95;false;false
vis;96;false;false
vis;97;false;false
vis;98;false;false
vis;99;false;false
vis;100;false;false
vis;101;false;false
vis;102;false;false
vis;103;false;false
vis;104;false;false
vis;105;false;false
vis;106;false;false
vis;107;false;false
vis;108;false;false
vis;109;false;false
vis;110;false;false
vis;111;false;false
vis;112;false;false
vis;113;false;false
vis;114;false;false
vis;115;false;false
vis;116;false;false
vis;117;false;false
vis;118;false;false
vis;119;false;false
vis;120;false;false
vis;121;false;false
vis;122;false;false
vis;123;false;false
vis;124;false;false
vis;125;false;false
vis;126;false;false
vis;127;false;false
vis;128;false;false
vis;129;false;false
vis;130;false;false
vis;131;false;false
vis;132;false;false
vis;133;false;false
vis;134;false;false
vis;135;false;false
vis;136;false;false
vis;137;false;false
vis;138;false;false
vis;139;false;false
vis;140;false;false
vis;141;false;false
vis;142;false;false
vis;143;false;false
vis;144;false;false
vis;145;false;false
vis;146;false;false
vis;147;false;false
vis;148;false;false
vis;149;false;false
vis;150;false;false
vis;151;false;false
vis;152;false;false
vis;153;false;false
vis;154;false;false
vis;155;false;false
vis;156;false;false
vis;157;false;false
vis;158;false;false
vis;159;false;false
vis;160;false;false
vis;161;false;false
vis;162;false;false
vis;163;false;false
vis;164;false;false
vis;165;false;false
vis;166;false;false
vis;167;false;false
