set;number;no_foil;foil
vma;1;false;false
vma;2;false;false
vma;3;false;false
vma;4;false;false
vma;5;false;false
vma;6;false;false
vma;7;false;false
vma;8;false;false
vma;9;false;false
vma;10;false;false
vma;11;false;false
vma;12;false;false
vma;13;false;false
vma;14;false;false
vma;15;false;false
vma;16;false;false
vma;17;false;false
vma;18;false;false
vma;19;false;false
vma;20;false;false
vma;21;false;false
vma;22;false;false
vma;23;false;false
vma;24;false;false
vma;25;false;false
vma;26;false;false
vma;27;false;false
vma;28;false;false
vma;29;false;false
vma;30;false;false
vma;31;false;false
vma;32;false;false
vma;33;false;false
vma;34;false;false
vma;35;false;false
vma;36;false;false
vma;37;false;false
vma;38;false;false
vma;39;false;false
vma;40;false;false
vma;41;false;false
vma;42;false;false
vma;43;false;false
vma;44;false;false
vma;45;false;false
vma;46;false;false
vma;47;false;false
vma;48;false;false
vma;49;false;false
vma;50;false;false
vma;51;false;false
vma;52;false;false
vma;53;false;false
vma;54;false;false
vma;55;false;false
vma;56;false;false
vma;57;false;false
vma;58;false;false
vma;59;false;false
vma;60;false;false
vma;61;false;false
vma;62;false;false
vma;63;false;false
vma;64;false;false
vma;65;false;false
vma;66;false;false
vma;67;false;false
vma;68;false;false
vma;69;false;false
vma;70;false;false
vma;71;false;false
vma;72;false;false
vma;73;false;false
vma;74;false;false
vma;75;false;false
vma;76;false;false
vma;77;false;false
vma;78;false;false
vma;79;false;false
vma;80;false;false
vma;81;false;false
vma;82;false;false
vma;83;false;false
vma;84;false;false
vma;85;false;false
vma;86;false;false
vma;87;false;false
vma;88;false;false
vma;89;false;false
vma;90;false;false
vma;91;false;false
vma;92;false;false
vma;93;false;false
vma;94;false;false
vma;95;false;false
vma;96;false;false
vma;97;false;false
vma;98;false;false
vma;99;false;false
vma;100;false;false
vma;101;false;false
vma;102;false;false
vma;103;false;false
vma;104;false;false
vma;105;false;false
vma;106;false;false
vma;107;false;false
vma;108;false;false
vma;109;false;false
vma;110;false;false
vma;111;false;false
vma;112;false;false
vma;113;false;false
vma;114;false;false
vma;115;false;false
vma;116;false;false
vma;117;false;false
vma;118;false;false
vma;119;false;false
vma;120;false;false
vma;121;false;false
vma;122;false;false
vma;123;false;false
