set;number;no_foil;foil
voc;1;false;false
voc;2;false;false
voc;3;false;false
voc;4;false;false
voc;5;false;false
voc;6;false;false
voc;7;false;false
voc;8;false;false
voc;9;false;false
voc;10;false;false
voc;11;false;false
voc;12;false;false
voc;13;false;false
voc;14;false;false
voc;15;false;false
voc;16;false;false
voc;17;false;false
voc;18;false;false
voc;19;false;false
voc;20;false;false
voc;21;false;false
voc;22;false;false
voc;23;false;false
voc;24;false;false
voc;25;false;false
voc;26;false;false
voc;27;false;false
voc;28;false;false
voc;29;false;false
voc;30;false;false
voc;31;false;false
voc;32;false;false
voc;33;false;false
voc;34;false;false
voc;35;false;false
voc;36;false;false
voc;37;false;false
voc;38;false;false
voc;39;false;false
voc;40;false;false
voc;41;false;false
voc;42;false;false
voc;43;false;false
voc;44;false;false
voc;45;false;false
voc;46;false;false
voc;47;false;false
voc;48;false;false
voc;49;false;false
voc;50;false;false
voc;51;false;false
voc;52;false;false
voc;53;false;false
voc;54;false;false
voc;55;false;false
voc;56;false;false
voc;57;false;false
voc;58;false;false
voc;59;false;false
voc;60;false;false
voc;61;false;false
voc;62;false;false
voc;63;false;false
voc;64;false;false
voc;65;false;false
voc;66;false;false
voc;67;false;false
voc;68;false;false
voc;69;false;false
voc;70;false;false
voc;71;false;false
voc;72;false;false
voc;73;false;false
voc;74;false;false
voc;75;false;false
voc;76;false;false
voc;77;false;false
voc;78;false;false
voc;79;false;false
voc;80;false;false
voc;81;false;false
voc;82;false;false
voc;83;false;false
voc;84;false;false
voc;85;false;false
voc;86;false;false
voc;87;false;false
voc;88;false;false
voc;89;false;false
voc;90;false;false
voc;91;false;false
voc;92;false;false
voc;93;false;false
voc;94;false;false
voc;95;false;false
voc;96;false;false
voc;97;false;false
voc;98;false;false
voc;99;false;false
voc;100;false;false
voc;101;false;false
voc;102;false;false
voc;103;false;false
voc;104;false;false
voc;105;false;false
voc;106;false;false
voc;107;false;false
voc;108;false;false
voc;109;false;false
voc;110;false;false
voc;111;false;false
voc;112;false;false
voc;113;false;false
voc;114;false;false
voc;115;false;false
voc;116;false;false
voc;117;false;false
voc;118;false;false
voc;119;false;false
voc;120;false;false
voc;121;false;false
voc;122;false;false
voc;123;false;false
voc;124;false;false
voc;125;false;false
voc;126;false;false
voc;127;false;false
voc;128;false;false
voc;129;false;false
voc;130;false;false
voc;131;false;false
voc;132;false;false
voc;133;false;false
voc;134;false;false
voc;135;false;false
voc;136;false;false
voc;137;false;false
voc;138;false;false
voc;139;false;false
voc;140;false;false
voc;141;false;false
voc;142;false;false
voc;143;false;false
voc;144;false;false
voc;145;false;false
voc;146;false;false
voc;147;false;false
voc;148;false;false
voc;149;false;false
voc;150;false;false
voc;151;false;false
voc;152;false;false
voc;153;false;false
voc;154;false;false
voc;155;false;false
voc;156;false;false
voc;157;false;false
voc;158;false;false
voc;159;false;false
voc;160;false;false
voc;161;false;false
voc;162;false;false
voc;163;false;false
voc;164;false;false
voc;165;false;false
voc;166;false;false
voc;167;false;false
voc;168;false;false
voc;169;false;false
voc;170;false;false
voc;171;false;false
voc;172;false;false
voc;173;false;false
voc;174;false;false
voc;175;false;false
voc;176;false;false
voc;177;false;false
voc;178;false;false
voc;179;false;false
voc;180;false;false
voc;181;false;false
voc;182;false;false
voc;183;false;false
voc;184;false;false
voc;185;false;false
voc;186;false;false
voc;187;false;false
voc;188;false;false
