set;number;no_foil;foil
w17;1;false;false
w17;2;false;false
w17;3;false;false
w17;4;false;false
w17;5;false;false
w17;6;false;false
w17;7;false;false
w17;8;false;false
w17;9;false;false
w17;10;false;false
w17;11;false;false
w17;12;false;false
w17;13;false;false
w17;14;false;false
w17;15;false;false
w17;16;false;false
w17;17;false;false
w17;18;false;false
w17;19;false;false
w17;20;false;false
w17;21;false;false
w17;22;false;false
w17;23;false;false
w17;24;false;false
w17;25;false;false
w17;26;false;false
w17;27;false;false
w17;28;false;false
w17;29;false;false
w17;30;false;false
