set;number;no_foil;foil
war;1;false;false
war;1★;false;false
war;2;false;false
war;2★;false;false
war;3;false;false
war;4;false;false
war;5;false;false
war;6;false;false
war;7;false;false
war;8;false;false
war;9;false;false
war;10;false;false
war;11;false;false
war;12;false;false
war;13;false;false
war;13★;false;false
war;14;false;false
war;15;false;false
war;16;false;false
war;17;false;false
war;18;false;false
war;19;false;false
war;20;false;false
war;21;false;false
war;22;false;false
war;23;false;false
war;24;false;false
war;25;false;false
war;26;false;false
war;27;false;false
war;28;false;false
war;29;false;false
war;30;false;false
war;31;false;false
war;32;false;false
war;32★;false;false
war;33;false;false
war;34;false;false
war;35;false;false
war;36;false;false
war;37;false;false
war;37★;false;false
war;38;false;false
war;39;false;false
war;40;false;false
war;41;false;false
war;42;false;false
war;43;false;false
war;44;false;false
war;45;false;false
war;46;false;false
war;47;false;false
war;48;false;false
war;49;false;false
war;50;false;false
war;51;false;false
war;52;false;false
war;53;false;false
war;54;false;false
war;54★;false;false
war;55;false;false
war;56;false;false
war;56★;false;false
war;57;false;false
war;58;false;false
war;59;false;false
war;60;false;false
war;61;false;false
war;61★;false;false
war;62;false;false
war;63;false;false
war;64;false;false
war;65;false;false
war;66;false;false
war;67;false;false
war;68;false;false
war;69;false;false
war;70;false;false
war;71;false;false
war;72;false;false
war;73;false;false
war;74;false;false
war;75;false;false
war;76;false;false
war;77;false;false
war;78;false;false
war;79;false;false
war;80;false;false
war;81;false;false
war;82;false;false
war;83;false;false
war;83★;false;false
war;84;false;false
war;85;false;false
war;86;false;false
war;87;false;false
war;88;false;false
war;89;false;false
war;90;false;false
war;91;false;false
war;92;false;false
war;93;false;false
war;94;false;false
war;95;false;false
war;96;false;false
war;97;false;false
war;97★;false;false
war;98;false;false
war;99;false;false
war;100;false;false
war;100★;false;false
war;101;false;false
war;102;false;false
war;103;false;false
war;104;false;false
war;105;false;false
war;106;false;false
war;107;false;false
war;108;false;false
war;109;false;false
war;110;false;false
war;111;false;false
war;112;false;false
war;113;false;false
war;114;false;false
war;115;false;false
war;116;false;false
war;117;false;false
war;118;false;false
war;119;false;false
war;119★;false;false
war;120;false;false
war;121;false;false
war;122;false;false
war;123;false;false
war;124;false;false
war;125;false;false
war;126;false;false
war;127;false;false
war;128;false;false
war;129;false;false
war;130;false;false
war;131;false;false
war;132;false;false
war;133;false;false
war;134;false;false
war;135;false;false
war;135★;false;false
war;136;false;false
war;137;false;false
war;138;false;false
war;139;false;false
war;140;false;false
war;141;false;false
war;142;false;false
war;143;false;false
war;143★;false;false
war;144;false;false
war;145;false;false
war;146;false;false
war;146★;false;false
war;147;false;false
war;148;false;false
war;149;false;false
war;150;false;false
war;150★;false;false
war;151;false;false
war;152;false;false
war;153;false;false
war;154;false;false
war;155;false;false
war;156;false;false
war;157;false;false
war;158;false;false
war;159;false;false
war;160;false;false
war;161;false;false
war;162;false;false
war;163;false;false
war;164;false;false
war;164★;false;false
war;165;false;false
war;166;false;false
war;167;false;false
war;168;false;false
war;169;false;false
war;169★;false;false
war;170;false;false
war;171;false;false
war;172;false;false
war;173;false;false
war;174;false;false
war;175;false;false
war;176;false;false
war;177;false;false
war;178;false;false
war;179;false;false
war;180;false;false
war;180★;false;false
war;181;false;false
war;182;false;false
war;183;false;false
war;184;false;false
war;184★;false;false
war;185;false;false
war;186;false;false
war;187;false;false
war;188;false;false
war;189;false;false
war;190;false;false
war;191;false;false
war;191★;false;false
war;192;false;false
war;193;false;false
war;194;false;false
war;195;false;false
war;196;false;false
war;197;false;false
war;198;false;false
war;199;false;false
war;200;false;false
war;201;false;false
war;202;false;false
war;203;false;false
war;204;false;false
war;205;false;false
war;206;false;false
war;207;false;false
war;207★;false;false
war;208;false;false
war;209;false;false
war;210;false;false
war;211;false;false
war;211★;false;false
war;212;false;false
war;213;false;false
war;214;false;false
war;215;false;false
war;216;false;false
war;217;false;false
war;217★;false;false
war;218;false;false
war;219;false;false
war;220;false;false
war;220★;false;false
war;221;false;false
war;221★;false;false
war;A-221;false;false
war;222;false;false
war;223;false;false
war;224;false;false
war;225;false;false
war;226;false;false
war;227;false;false
war;227★;false;false
war;228;false;false
war;228★;false;false
war;229;false;false
war;229★;false;false
war;230;false;false
war;230★;false;false
war;231;false;false
war;231★;false;false
war;232;false;false
war;232★;false;false
war;233;false;false
war;233★;false;false
war;234;false;false
war;234★;false;false
war;235;false;false
war;235★;false;false
war;236;false;false
war;236★;false;false
war;237;false;false
war;238;false;false
war;239;false;false
war;240;false;false
war;241;false;false
war;242;false;false
war;243;false;false
war;244;false;false
war;245;false;false
war;246;false;false
war;247;false;false
war;248;false;false
war;249;false;false
war;250;false;false
war;251;false;false
war;252;false;false
war;253;false;false
war;254;false;false
war;255;false;false
war;256;false;false
war;257;false;false
war;258;false;false
war;259;false;false
war;260;false;false
war;261;false;false
war;262;false;false
war;263;false;false
war;264;false;false
war;265;false;false
war;266;false;false
war;267;false;false
war;268;false;false
war;269;false;false
war;270;false;false
war;271;false;false
war;272;false;false
war;273;false;false
war;274;false;false
war;275;false;false
