set;number;no_foil;foil
who;1;false;false
who;2;false;false
who;3;false;false
who;4;false;false
who;5;false;false
who;6;false;false
who;7;false;false
who;8;false;false
who;9;false;false
who;10;false;false
who;11;false;false
who;12;false;false
who;13;false;false
who;14;false;false
who;15;false;false
who;16;false;false
who;17;false;false
who;18;false;false
who;19;false;false
who;20;false;false
who;21;false;false
who;22;false;false
who;23;false;false
who;24;false;false
who;25;false;false
who;26;false;false
who;27;false;false
who;28;false;false
who;29;false;false
who;30;false;false
who;31;false;false
who;32;false;false
who;33;false;false
who;34;false;false
who;35;false;false
who;36;false;false
who;37;false;false
who;38;false;false
who;39;false;false
who;40;false;false
who;41;false;false
who;42;false;false
who;43;false;false
who;44;false;false
who;45;false;false
who;46;false;false
who;47;false;false
who;48;false;false
who;49;false;false
who;50;false;false
who;51;false;false
who;52;false;false
who;53;false;false
who;54;false;false
who;55;false;false
who;56;false;false
who;57;false;false
who;58;false;false
who;59;false;false
who;60;false;false
who;61;false;false
who;62;false;false
who;63;false;false
who;64;false;false
who;65;false;false
who;66;false;false
who;67;false;false
who;68;false;false
who;69;false;false
who;70;false;false
who;71;false;false
who;72;false;false
who;73;false;false
who;74;false;false
who;75;false;false
who;76;false;false
who;77;false;false
who;78;false;false
who;79;false;false
who;80;false;false
who;81;false;false
who;82;false;false
who;83;false;false
who;84;false;false
who;85;false;false
who;86;false;false
who;87;false;false
who;88;false;false
who;89;false;false
who;90;false;false
who;91;false;false
who;92;false;false
who;93;false;false
who;94;false;false
who;95;false;false
who;96;false;false
who;97;false;false
who;98;false;false
who;99;false;false
who;100;false;false
who;101;false;false
who;102;false;false
who;103;false;false
who;104;false;false
who;105;false;false
who;106;false;false
who;107;false;false
who;108;false;false
who;109;false;false
who;110;false;false
who;111;false;false
who;112;false;false
who;113;false;false
who;114;false;false
who;115;false;false
who;116;false;false
who;117;false;false
who;118;false;false
who;119;false;false
who;120;false;false
who;121;false;false
who;122;false;false
who;123;false;false
who;124;false;false
who;125;false;false
who;126;false;false
who;127;false;false
who;128;false;false
who;129;false;false
who;130;false;false
who;131;false;false
who;132;false;false
who;133;false;false
who;134;false;false
who;135;false;false
who;136;false;false
who;137;false;false
who;138;false;false
who;139;false;false
who;140;false;false
who;141;false;false
who;142;false;false
who;143;false;false
who;144;false;false
who;145;false;false
who;146;false;false
who;147;false;false
who;148;false;false
who;149;false;false
who;150;false;false
who;151;false;false
who;152;false;false
who;153;false;false
who;154;false;false
who;155;false;false
who;156;false;false
who;157;false;false
who;158;false;false
who;159;false;false
who;160;false;false
who;161;false;false
who;162;false;false
who;163;false;false
who;164;false;false
who;165;false;false
who;166;false;false
who;167;false;false
who;168;false;false
who;169;false;false
who;170;false;false
who;171;false;false
who;172;false;false
who;173;false;false
who;174;false;false
who;175;false;false
who;176;false;false
who;177;false;false
who;178;false;false
who;179;false;false
who;180;false;false
who;181;false;false
who;182;false;false
who;183;false;false
who;184;false;false
who;185;false;false
who;186;false;false
who;187;false;false
who;188;false;false
who;189;false;false
who;190;false;false
who;191;false;false
who;192;false;false
who;193;false;false
who;194;false;false
who;195;false;false
who;196;false;false
who;197;false;false
who;198;false;false
who;199;false;false
who;200;false;false
who;201;false;false
who;202;false;false
who;203;false;false
who;204;false;false
who;205;false;false
who;206;false;false
who;207;false;false
who;208;false;false
who;209;false;false
who;210;false;false
who;211;false;false
who;212;false;false
who;213;false;false
who;214;false;false
who;215;false;false
who;216;false;false
who;217;false;false
who;218;false;false
who;219;false;false
who;220;false;false
who;221;false;false
who;222;false;false
who;223;false;false
who;224;false;false
who;225;false;false
who;226;false;false
who;227;false;false
who;228;false;false
who;229;false;false
who;230;false;false
who;231;false;false
who;232;false;false
who;233;false;false
who;234;false;false
who;235;false;false
who;236;false;false
who;237;false;false
who;238;false;false
who;239;false;false
who;240;false;false
who;241;false;false
who;242;false;false
who;243;false;false
who;244;false;false
who;245;false;false
who;246;false;false
who;247;false;false
who;248;false;false
who;249;false;false
who;250;false;false
who;251;false;false
who;252;false;false
who;253;false;false
who;254;false;false
who;255;false;false
who;256;false;false
who;257;false;false
who;258;false;false
who;259;false;false
who;260;false;false
who;261;false;false
who;262;false;false
who;263;false;false
who;264;false;false
who;265;false;false
who;266;false;false
who;267;false;false
who;268;false;false
who;269;false;false
who;270;false;false
who;271;false;false
who;272;false;false
who;273;false;false
who;274;false;false
who;275;false;false
who;276;false;false
who;277;false;false
who;278;false;false
who;279;false;false
who;280;false;false
who;281;false;false
who;282;false;false
who;283;false;false
who;284;false;false
who;285;false;false
who;286;false;false
who;287;false;false
who;288;false;false
who;289;false;false
who;290;false;false
who;291;false;false
who;292;false;false
who;293;false;false
who;294;false;false
who;295;false;false
who;296;false;false
who;297;false;false
who;298;false;false
who;299;false;false
who;300;false;false
who;301;false;false
who;302;false;false
who;303;false;false
who;304;false;false
who;305;false;false
who;306;false;false
who;307;false;false
who;308;false;false
who;309;false;false
who;310;false;false
who;311;false;false
who;312;false;false
who;313;false;false
who;314;false;false
who;315;false;false
who;316;false;false
who;317;false;false
who;318;false;false
who;319;false;false
who;320;false;false
who;321;false;false
who;322;false;false
who;323;false;false
who;324;false;false
who;325;false;false
who;326;false;false
who;327;false;false
who;328;false;false
who;329;false;false
who;330;false;false
who;331;false;false
who;332;false;false
who;333;false;false
who;334;false;false
who;335;false;false
who;336;false;false
who;337;false;false
who;338;false;false
who;339;false;false
who;340;false;false
who;341;false;false
who;342;false;false
who;343;false;false
who;344;false;false
who;345;false;false
who;346;false;false
who;347;false;false
who;348;false;false
who;349;false;false
who;350;false;false
who;351;false;false
who;352;false;false
who;353;false;false
who;354;false;false
who;355;false;false
who;356;false;false
who;357;false;false
who;358;false;false
who;359;false;false
who;360;false;false
who;361;false;false
who;362;false;false
who;363;false;false
who;364;false;false
who;365;false;false
who;366;false;false
who;367;false;false
who;368;false;false
who;369;false;false
who;370;false;false
who;371;false;false
who;372;false;false
who;373;false;false
who;374;false;false
who;375;false;false
who;376;false;false
who;377;false;false
who;378;false;false
who;379;false;false
who;380;false;false
who;381;false;false
who;382;false;false
who;383;false;false
who;384;false;false
who;385;false;false
who;386;false;false
who;387;false;false
who;388;false;false
who;389;false;false
who;390;false;false
who;391;false;false
who;392;false;false
who;393;false;false
who;394;false;false
who;395;false;false
who;396;false;false
who;397;false;false
who;398;false;false
who;399;false;false
who;400;false;false
who;401;false;false
who;402;false;false
who;403;false;false
who;404;false;false
who;405;false;false
who;406;false;false
who;407;false;false
who;408;false;false
who;409;false;false
who;410;false;false
who;411;false;false
who;412;false;false
who;413;false;false
who;414;false;false
who;415;false;false
who;416;false;false
who;417;false;false
who;418;false;false
who;419;false;false
who;420;false;false
who;421;false;false
who;422;false;false
who;423;false;false
who;424;false;false
who;425;false;false
who;426;false;false
who;427;false;false
who;428;false;false
who;429;false;false
who;430;false;false
who;431;false;false
who;432;false;false
who;433;false;false
who;434;false;false
who;435;false;false
who;436;false;false
who;437;false;false
who;438;false;false
who;439;false;false
who;440;false;false
who;441;false;false
who;442;false;false
who;443;false;false
who;444;false;false
who;445;false;false
who;446;false;false
who;447;false;false
who;448;false;false
who;449;false;false
who;450;false;false
who;451;false;false
who;452;false;false
who;453;false;false
who;454;false;false
who;455;false;false
who;456;false;false
who;457;false;false
who;458;false;false
who;459;false;false
who;460;false;false
who;461;false;false
who;462;false;false
who;463;false;false
who;464;false;false
who;465;false;false
who;466;false;false
who;467;false;false
who;468;false;false
who;469;false;false
who;470;false;false
who;471;false;false
who;472;false;false
who;473;false;false
who;474;false;false
who;475;false;false
who;476;false;false
who;477;false;false
who;478;false;false
who;479;false;false
who;480;false;false
who;481;false;false
who;482;false;false
who;483;false;false
who;484;false;false
who;485;false;false
who;486;false;false
who;487;false;false
who;488;false;false
who;489;false;false
who;490;false;false
who;491;false;false
who;492;false;false
who;493;false;false
who;494;false;false
who;495;false;false
who;496;false;false
who;497;false;false
who;498;false;false
who;499;false;false
who;500;false;false
who;501;false;false
who;502;false;false
who;503;false;false
who;504;false;false
who;505;false;false
who;506;false;false
who;507;false;false
who;508;false;false
who;509;false;false
who;510;false;false
who;511;false;false
who;512;false;false
who;513;false;false
who;514;false;false
who;515;false;false
who;516;false;false
who;517;false;false
who;518;false;false
who;519;false;false
who;520;false;false
who;521;false;false
who;522;false;false
who;523;false;false
who;524;false;false
who;525;false;false
who;526;false;false
who;527;false;false
who;528;false;false
who;529;false;false
who;530;false;false
who;531;false;false
who;532;false;false
who;533;false;false
who;534;false;false
who;535;false;false
who;536;false;false
who;537;false;false
who;538;false;false
who;539;false;false
who;540;false;false
who;541;false;false
who;542;false;false
who;543;false;false
who;544;false;false
who;545;false;false
who;546;false;false
who;547;false;false
who;548;false;false
who;549;false;false
who;550;false;false
who;551;false;false
who;552;false;false
who;552z;false;false
who;553;false;false
who;553z;false;false
who;554;false;false
who;554z;false;false
who;555;false;false
who;555z;false;false
who;556;false;false
who;556z;false;false
who;557;false;false
who;557z;false;false
who;558;false;false
who;558z;false;false
who;559;false;false
who;559z;false;false
who;560;false;false
who;560z;false;false
who;561;false;false
who;561z;false;false
who;562;false;false
who;562z;false;false
who;563;false;false
who;563z;false;false
who;564;false;false
who;564z;false;false
who;565;false;false
who;566;false;false
who;567;false;false
who;568;false;false
who;569;false;false
who;570;false;false
who;571;false;false
who;572;false;false
who;573;false;false
who;574;false;false
who;575;false;false
who;576;false;false
who;577;false;false
who;578;false;false
who;579;false;false
who;580;false;false
who;581;false;false
who;582;false;false
who;583;false;false
who;584;false;false
who;585;false;false
who;586;false;false
who;587;false;false
who;588;false;false
who;589;false;false
who;590;false;false
who;591;false;false
who;592;false;false
who;593;false;false
who;594;false;false
who;595;false;false
who;596;false;false
who;597;false;false
who;598;false;false
who;599;false;false
who;600;false;false
who;601;false;false
who;602;false;false
who;603;false;false
who;604;false;false
who;605;false;false
who;606;false;false
who;607;false;false
who;608;false;false
who;609;false;false
who;610;false;false
who;611;false;false
who;612;false;false
who;613;false;false
who;614;false;false
who;615;false;false
who;616;false;false
who;617;false;false
who;618;false;false
who;619;false;false
who;620;false;false
who;621;false;false
who;622;false;false
who;623;false;false
who;624;false;false
who;625;false;false
who;626;false;false
who;627;false;false
who;628;false;false
who;629;false;false
who;630;false;false
who;631;false;false
who;632;false;false
who;633;false;false
who;634;false;false
who;635;false;false
who;636;false;false
who;637;false;false
who;638;false;false
who;639;false;false
who;640;false;false
who;641;false;false
who;642;false;false
who;643;false;false
who;644;false;false
who;645;false;false
who;646;false;false
who;647;false;false
who;648;false;false
who;649;false;false
who;650;false;false
who;651;false;false
who;652;false;false
who;653;false;false
who;654;false;false
who;655;false;false
who;656;false;false
who;657;false;false
who;658;false;false
who;659;false;false
who;660;false;false
who;661;false;false
who;662;false;false
who;663;false;false
who;664;false;false
who;665;false;false
who;666;false;false
who;667;false;false
who;668;false;false
who;669;false;false
who;670;false;false
who;671;false;false
who;672;false;false
who;673;false;false
who;674;false;false
who;675;false;false
who;676;false;false
who;677;false;false
who;678;false;false
who;679;false;false
who;680;false;false
who;681;false;false
who;682;false;false
who;683;false;false
who;684;false;false
who;685;false;false
who;686;false;false
who;687;false;false
who;688;false;false
who;689;false;false
who;690;false;false
who;691;false;false
who;692;false;false
who;693;false;false
who;694;false;false
who;695;false;false
who;696;false;false
who;697;false;false
who;698;false;false
who;699;false;false
who;700;false;false
who;701;false;false
who;702;false;false
who;703;false;false
who;704;false;false
who;705;false;false
who;706;false;false
who;707;false;false
who;708;false;false
who;709;false;false
who;710;false;false
who;711;false;false
who;712;false;false
who;713;false;false
who;714;false;false
who;715;false;false
who;716;false;false
who;717;false;false
who;718;false;false
who;719;false;false
who;720;false;false
who;721;false;false
who;722;false;false
who;723;false;false
who;724;false;false
who;725;false;false
who;726;false;false
who;727;false;false
who;728;false;false
who;729;false;false
who;730;false;false
who;731;false;false
who;732;false;false
who;733;false;false
who;734;false;false
who;735;false;false
who;736;false;false
who;737;false;false
who;738;false;false
who;739;false;false
who;740;false;false
who;741;false;false
who;742;false;false
who;743;false;false
who;744;false;false
who;745;false;false
who;746;false;false
who;747;false;false
who;748;false;false
who;749;false;false
who;750;false;false
who;751;false;false
who;752;false;false
who;753;false;false
who;754;false;false
who;755;false;false
who;756;false;false
who;757;false;false
who;758;false;false
who;759;false;false
who;760;false;false
who;761;false;false
who;762;false;false
who;763;false;false
who;764;false;false
who;765;false;false
who;766;false;false
who;767;false;false
who;768;false;false
who;769;false;false
who;770;false;false
who;771;false;false
who;772;false;false
who;773;false;false
who;774;false;false
who;775;false;false
who;776;false;false
who;777;false;false
who;778;false;false
who;779;false;false
who;780;false;false
who;781;false;false
who;782;false;false
who;783;false;false
who;784;false;false
who;785;false;false
who;786;false;false
who;787;false;false
who;788;false;false
who;789;false;false
who;790;false;false
who;791;false;false
who;792;false;false
who;793;false;false
who;794;false;false
who;795;false;false
who;796;false;false
who;797;false;false
who;798;false;false
who;799;false;false
who;800;false;false
who;801;false;false
who;802;false;false
who;803;false;false
who;804;false;false
who;805;false;false
who;806;false;false
who;807;false;false
who;808;false;false
who;809;false;false
who;810;false;false
who;811;false;false
who;812;false;false
who;813;false;false
who;814;false;false
who;815;false;false
who;816;false;false
who;817;false;false
who;818;false;false
who;819;false;false
who;820;false;false
who;821;false;false
who;822;false;false
who;823;false;false
who;824;false;false
who;825;false;false
who;826;false;false
who;827;false;false
who;828;false;false
who;829;false;false
who;830;false;false
who;831;false;false
who;832;false;false
who;833;false;false
who;834;false;false
who;835;false;false
who;836;false;false
who;837;false;false
who;838;false;false
who;839;false;false
who;840;false;false
who;841;false;false
who;842;false;false
who;843;false;false
who;844;false;false
who;845;false;false
who;846;false;false
who;847;false;false
who;848;false;false
who;849;false;false
who;850;false;false
