set;number;no_foil;foil
woc;1;false;false
woc;2;false;false
woc;3;false;false
woc;4;false;false
woc;5;false;false
woc;6;false;false
woc;7;false;false
woc;8;false;false
woc;9;false;false
woc;10;false;false
woc;11;false;false
woc;12;false;false
woc;13;false;false
woc;14;false;false
woc;15;false;false
woc;16;false;false
woc;17;false;false
woc;18;false;false
woc;19;false;false
woc;20;false;false
woc;21;false;false
woc;22;false;false
woc;23;false;false
woc;24;false;false
woc;25;false;false
woc;26;false;false
woc;27;false;false
woc;28;false;false
woc;29;false;false
woc;30;false;false
woc;31;false;false
woc;32;false;false
woc;33;false;false
woc;34;false;false
woc;35;false;false
woc;36;false;false
woc;37;false;false
woc;38;false;false
woc;39;false;false
woc;40;false;false
woc;41;false;false
woc;42;false;false
woc;43;false;false
woc;44;false;false
woc;45;false;false
woc;46;false;false
woc;47;false;false
woc;48;false;false
woc;49;false;false
woc;50;false;false
woc;51;false;false
woc;52;false;false
woc;53;false;false
woc;54;false;false
woc;55;false;false
woc;56;false;false
woc;57;false;false
woc;58;false;false
woc;59;false;false
woc;60;false;false
woc;61;false;false
woc;62;false;false
woc;63;false;false
woc;64;false;false
woc;65;false;false
woc;66;false;false
woc;67;false;false
woc;68;false;false
woc;69;false;false
woc;70;false;false
woc;71;false;false
woc;72;false;false
woc;73;false;false
woc;74;false;false
woc;75;false;false
woc;76;false;false
woc;77;false;false
woc;78;false;false
woc;79;false;false
woc;80;false;false
woc;81;false;false
woc;82;false;false
woc;83;false;false
woc;84;false;false
woc;85;false;false
woc;86;false;false
woc;87;false;false
woc;88;false;false
woc;89;false;false
woc;90;false;false
woc;91;false;false
woc;92;false;false
woc;93;false;false
woc;94;false;false
woc;95;false;false
woc;96;false;false
woc;97;false;false
woc;98;false;false
woc;99;false;false
woc;100;false;false
woc;101;false;false
woc;102;false;false
woc;103;false;false
woc;104;false;false
woc;105;false;false
woc;106;false;false
woc;107;false;false
woc;108;false;false
woc;109;false;false
woc;110;false;false
woc;111;false;false
woc;112;false;false
woc;113;false;false
woc;114;false;false
woc;115;false;false
woc;116;false;false
woc;117;false;false
woc;118;false;false
woc;119;false;false
woc;120;false;false
woc;121;false;false
woc;122;false;false
woc;123;false;false
woc;124;false;false
woc;125;false;false
woc;126;false;false
woc;127;false;false
woc;128;false;false
woc;129;false;false
woc;130;false;false
woc;131;false;false
woc;132;false;false
woc;133;false;false
woc;134;false;false
woc;135;false;false
woc;136;false;false
woc;137;false;false
woc;138;false;false
woc;139;false;false
woc;140;false;false
woc;141;false;false
woc;142;false;false
woc;143;false;false
woc;144;false;false
woc;145;false;false
woc;146;false;false
woc;147;false;false
woc;148;false;false
woc;149;false;false
woc;150;false;false
woc;151;false;false
woc;152;false;false
woc;153;false;false
woc;154;false;false
woc;155;false;false
woc;156;false;false
woc;157;false;false
woc;158;false;false
woc;159;false;false
woc;160;false;false
woc;161;false;false
woc;162;false;false
woc;163;false;false
woc;164;false;false
woc;165;false;false
woc;166;false;false
woc;167;false;false
woc;168;false;false
woc;169;false;false
woc;170;false;false
woc;171;false;false
woc;172;false;false
woc;173;false;false
