set;number;no_foil;foil
woe;1;false;false
woe;2;false;false
woe;3;false;false
woe;4;false;false
woe;5;false;false
woe;6;false;false
woe;7;false;false
woe;8;false;false
woe;9;false;false
woe;10;false;false
woe;11;false;false
woe;12;false;false
woe;13;false;false
woe;14;false;false
woe;15;false;false
woe;16;false;false
woe;17;false;false
woe;18;false;false
woe;19;false;false
woe;20;false;false
woe;21;false;false
woe;22;false;false
woe;23;false;false
woe;24;false;false
woe;25;false;false
woe;26;false;false
woe;27;false;false
woe;28;false;false
woe;29;false;false
woe;30;false;false
woe;31;false;false
woe;32;false;false
woe;33;false;false
woe;34;false;false
woe;35;false;false
woe;36;false;false
woe;37;false;false
woe;38;false;false
woe;39;false;false
woe;40;false;false
woe;41;false;false
woe;42;false;false
woe;43;false;false
woe;44;false;false
woe;45;false;false
woe;46;false;false
woe;47;false;false
woe;48;false;false
woe;49;false;false
woe;50;false;false
woe;51;false;false
woe;52;false;false
woe;53;false;false
woe;54;false;false
woe;55;false;false
woe;56;false;false
woe;57;false;false
woe;58;false;false
woe;59;false;false
woe;60;false;false
woe;61;false;false
woe;62;false;false
woe;63;false;false
woe;64;false;false
woe;65;false;false
woe;66;false;false
woe;67;false;false
woe;68;false;false
woe;69;false;false
woe;70;false;false
woe;71;false;false
woe;72;false;false
woe;73;false;false
woe;74;false;false
woe;75;false;false
woe;76;false;false
woe;77;false;false
woe;78;false;false
woe;79;false;false
woe;80;false;false
woe;81;false;false
woe;82;false;false
woe;83;false;false
woe;84;false;false
woe;85;false;false
woe;86;false;false
woe;87;false;false
woe;88;false;false
woe;89;false;false
woe;90;false;false
woe;91;false;false
woe;92;false;false
woe;93;false;false
woe;94;false;false
woe;95;false;false
woe;96;false;false
woe;97;false;false
woe;98;false;false
woe;99;false;false
woe;100;false;false
woe;101;false;false
woe;102;false;false
woe;103;false;false
woe;104;false;false
woe;105;false;false
woe;106;false;false
woe;107;false;false
woe;108;false;false
woe;109;false;false
woe;110;false;false
woe;111;false;false
woe;112;false;false
woe;113;false;false
woe;114;false;false
woe;115;false;false
woe;116;false;false
woe;117;false;false
woe;118;false;false
woe;119;false;false
woe;120;false;false
woe;121;false;false
woe;122;false;false
woe;123;false;false
woe;124;false;false
woe;125;false;false
woe;126;false;false
woe;127;false;false
