set;number;no_foil;foil
wot;1;false;false
wot;2;false;false
wot;3;false;false
wot;4;false;false
wot;5;false;false
wot;6;false;false
wot;7;false;false
wot;8;false;false
wot;9;false;false
wot;10;false;false
wot;11;false;false
wot;12;false;false
wot;13;false;false
wot;14;false;false
wot;15;false;false
wot;16;false;false
wot;17;false;false
wot;18;false;false
wot;19;false;false
wot;20;false;false
wot;21;false;false
wot;22;false;false
wot;23;false;false
wot;24;false;false
wot;25;false;false
wot;26;false;false
wot;27;false;false
wot;28;false;false
wot;29;false;false
wot;30;false;false
wot;31;false;false
wot;32;false;false
wot;33;false;false
wot;34;false;false
wot;35;false;false
wot;36;false;false
wot;37;false;false
wot;38;false;false
wot;39;false;false
wot;40;false;false
wot;41;false;false
wot;42;false;false
wot;43;false;false
wot;44;false;false
wot;45;false;false
wot;46;false;false
wot;47;false;false
wot;48;false;false
wot;49;false;false
wot;50;false;false
wot;51;false;false
wot;52;false;false
wot;53;false;false
wot;54;false;false
wot;55;false;false
wot;56;false;false
wot;57;false;false
wot;58;false;false
wot;59;false;false
wot;60;false;false
wot;61;false;false
wot;62;false;false
wot;63;false;false
wot;64;false;false
wot;65;false;false
wot;66;false;false
wot;67;false;false
wot;68;false;false
wot;69;false;false
wot;70;false;false
wot;71;false;false
wot;72;false;false
wot;73;false;false
wot;74;false;false
wot;75;false;false
wot;76;false;false
wot;77;false;false
wot;78;false;false
wot;79;false;false
wot;80;false;false
wot;81;false;false
wot;82;false;false
wot;83;false;false
wot;84;false;false
wot;85;false;false
wot;86;false;false
wot;87;false;false
wot;88;false;false
wot;89;false;false
wot;90;false;false
wot;91;false;false
wot;92;false;false
wot;93;false;false
wot;94;false;false
wot;95;false;false
wot;96;false;false
wot;97;false;false
wot;98;false;false
wot;99;false;false
wot;100;false;false
wot;101;false;false
wot;102;false;false
wot;103;false;false
