set;number;no_foil;foil
wth;1;false;false
wth;2;false;false
wth;3;false;false
wth;4;false;false
wth;5;false;false
wth;6;false;false
wth;7;false;false
wth;8;false;false
wth;9;false;false
wth;10;false;false
wth;11;false;false
wth;12;false;false
wth;13;false;false
wth;14;false;false
wth;15;false;false
wth;16;false;false
wth;17;false;false
wth;18;false;false
wth;19;false;false
wth;20;false;false
wth;21;false;false
wth;22;false;false
wth;23;false;false
wth;24;false;false
wth;25;false;false
wth;26;false;false
wth;27;false;false
wth;28;false;false
wth;29;false;false
wth;30;false;false
wth;31;false;false
wth;32;false;false
wth;33;false;false
wth;34;false;false
wth;35;false;false
wth;36;false;false
wth;37;false;false
wth;38;false;false
wth;39;false;false
wth;40;false;false
wth;41;false;false
wth;42;false;false
wth;43;false;false
wth;44;false;false
wth;45;false;false
wth;46;false;false
wth;47;false;false
wth;48;false;false
wth;49;false;false
wth;50;false;false
wth;51;false;false
wth;52;false;false
wth;53;false;false
wth;54;false;false
wth;55;false;false
wth;56;false;false
wth;57;false;false
wth;58;false;false
wth;59;false;false
wth;60;false;false
wth;61;false;false
wth;62;false;false
wth;63;false;false
wth;64;false;false
wth;65;false;false
wth;66;false;false
wth;67;false;false
wth;68;false;false
wth;69;false;false
wth;70;false;false
wth;71;false;false
wth;72;false;false
wth;73;false;false
wth;74;false;false
wth;75;false;false
wth;76;false;false
wth;77;false;false
wth;78;false;false
wth;79;false;false
wth;80;false;false
wth;81;false;false
wth;82;false;false
wth;83;false;false
wth;84;false;false
wth;85;false;false
wth;86;false;false
wth;87;false;false
wth;88;false;false
wth;89;false;false
wth;90;false;false
wth;91;false;false
wth;92;false;false
wth;93;false;false
wth;94;false;false
wth;95;false;false
wth;96;false;false
wth;97;false;false
wth;98;false;false
wth;99;false;false
wth;100;false;false
wth;101;false;false
wth;102;false;false
wth;103;false;false
wth;104;false;false
wth;105;false;false
wth;106;false;false
wth;107;false;false
wth;108;false;false
wth;109;false;false
wth;110;false;false
wth;111;false;false
wth;112;false;false
wth;113;false;false
wth;114;false;false
wth;115;false;false
wth;116;false;false
wth;117;false;false
wth;118;false;false
wth;119;false;false
wth;120;false;false
wth;121;false;false
wth;122;false;false
wth;123;false;false
wth;124;false;false
wth;125;false;false
wth;126;false;false
wth;127;false;false
wth;128;false;false
wth;129;false;false
wth;130;false;false
wth;131;false;false
wth;132;false;false
wth;133;false;false
wth;134;false;false
wth;135;false;false
wth;136;false;false
wth;137;false;false
wth;138;false;false
wth;139;false;false
wth;140;false;false
wth;141;false;false
wth;142;false;false
wth;143;false;false
wth;144;false;false
wth;145;false;false
wth;146;false;false
wth;147;false;false
wth;148;false;false
wth;149;false;false
wth;150;false;false
wth;151;false;false
wth;152;false;false
wth;153;false;false
wth;154;false;false
wth;155;false;false
wth;156;false;false
wth;157;false;false
wth;158;false;false
wth;159;false;false
wth;160;false;false
wth;161;false;false
wth;162;false;false
wth;163;false;false
wth;164;false;false
wth;165;false;false
wth;166;false;false
wth;167;false;false
