set;number;no_foil;foil
wwk;1;false;false
wwk;2;false;false
wwk;3;false;false
wwk;4;false;false
wwk;5;false;false
wwk;6;false;false
wwk;7;false;false
wwk;8;false;false
wwk;9;false;false
wwk;10;false;false
wwk;11;false;false
wwk;12;false;false
wwk;13;false;false
wwk;14;false;false
wwk;15;false;false
wwk;16;false;false
wwk;17;false;false
wwk;18;false;false
wwk;19;false;false
wwk;20;false;false
wwk;21;false;false
wwk;22;false;false
wwk;23;false;false
wwk;24;false;false
wwk;25;false;false
wwk;26;false;false
wwk;27;false;false
wwk;28;false;false
wwk;29;false;false
wwk;30;false;false
wwk;31;false;false
wwk;32;false;false
wwk;33;false;false
wwk;34;false;false
wwk;35;false;false
wwk;36;false;false
wwk;37;false;false
wwk;38;false;false
wwk;39;false;false
wwk;40;false;false
wwk;41;false;false
wwk;42;false;false
wwk;43;false;false
wwk;44;false;false
wwk;45;false;false
wwk;46;false;false
wwk;47;false;false
wwk;48;false;false
wwk;49;false;false
wwk;50;false;false
wwk;51;false;false
wwk;52;false;false
wwk;53;false;false
wwk;54;false;false
wwk;55;false;false
wwk;56;false;false
wwk;57;false;false
wwk;58;false;false
wwk;59;false;false
wwk;60;false;false
wwk;61;false;false
wwk;62;false;false
wwk;63;false;false
wwk;64;false;false
wwk;65;false;false
wwk;66;false;false
wwk;67;false;false
wwk;68;false;false
wwk;69;false;false
wwk;70;false;false
wwk;71;false;false
wwk;72;false;false
wwk;73;false;false
wwk;74;false;false
wwk;75;false;false
wwk;76;false;false
wwk;77;false;false
wwk;78;false;false
wwk;79;false;false
wwk;80;false;false
wwk;81;false;false
wwk;82;false;false
wwk;83;false;false
wwk;84;false;false
wwk;85;false;false
wwk;86;false;false
wwk;87;false;false
wwk;88;false;false
wwk;89;false;false
wwk;90;false;false
wwk;91;false;false
wwk;92;false;false
wwk;93;false;false
wwk;94;false;false
wwk;95;false;false
wwk;96;false;false
wwk;97;false;false
wwk;98;false;false
wwk;99;false;false
wwk;100;false;false
wwk;101;false;false
wwk;102;false;false
wwk;103;false;false
wwk;104;false;false
wwk;105;false;false
wwk;106;false;false
wwk;107;false;false
wwk;108;false;false
wwk;109;false;false
wwk;110;false;false
wwk;111;false;false
wwk;112;false;false
wwk;113;false;false
wwk;114;false;false
wwk;115;false;false
wwk;116;false;false
wwk;117;false;false
wwk;118;false;false
wwk;119;false;false
wwk;120;false;false
wwk;121;false;false
wwk;122;false;false
wwk;123;false;false
wwk;124;false;false
wwk;125;false;false
wwk;126;false;false
wwk;127;false;false
wwk;128;false;false
wwk;129;false;false
wwk;130;false;false
wwk;131;false;false
wwk;132;false;false
wwk;133;false;false
wwk;134;false;false
wwk;135;false;false
wwk;136;false;false
wwk;137;false;false
wwk;138;false;false
wwk;139;false;false
wwk;140;false;false
wwk;141;false;false
wwk;142;false;false
wwk;143;false;false
wwk;144;false;false
wwk;145;false;false
