set;number;no_foil;foil
xln;1;false;false
xln;2;false;false
xln;3;false;false
xln;4;false;false
xln;5;false;false
xln;6;false;false
xln;7;false;false
xln;8;false;false
xln;9;false;false
xln;10;false;false
xln;11;false;false
xln;12;false;false
xln;13;false;false
xln;14;false;false
xln;15;false;false
xln;16;false;false
xln;17;false;false
xln;18;false;false
xln;19;false;false
xln;20;false;false
xln;21;false;false
xln;22;false;false
xln;23;false;false
xln;24;false;false
xln;25;false;false
xln;26;false;false
xln;27;false;false
xln;28;false;false
xln;29;false;false
xln;30;false;false
xln;31;false;false
xln;32;false;false
xln;33;false;false
xln;34;false;false
xln;35;false;false
xln;36;false;false
xln;37;false;false
xln;38;false;false
xln;39;false;false
xln;40;false;false
xln;41;false;false
xln;42;false;false
xln;43;false;false
xln;44;false;false
xln;45;false;false
xln;46;false;false
xln;47;false;false
xln;48;false;false
xln;49;false;false
xln;50;false;false
xln;51;false;false
xln;52;false;false
xln;53;false;false
xln;54;false;false
xln;55;false;false
xln;56;false;false
xln;57;false;false
xln;58;false;false
xln;59;false;false
xln;60;false;false
xln;61;false;false
xln;62;false;false
xln;63;false;false
xln;64;false;false
xln;65;false;false
xln;66;false;false
xln;67;false;false
xln;68;false;false
xln;69;false;false
xln;70;false;false
xln;71;false;false
xln;72;false;false
xln;73;false;false
xln;74;false;false
xln;75;false;false
xln;76;false;false
xln;77;false;false
xln;78;false;false
xln;79;false;false
xln;80;false;false
xln;81;false;false
xln;82;false;false
xln;83;false;false
xln;84;false;false
xln;85;false;false
xln;86;false;false
xln;87;false;false
xln;88;false;false
xln;89;false;false
xln;90;false;false
xln;91;false;false
xln;92;false;false
xln;93;false;false
xln;94;false;false
xln;95;false;false
xln;96;false;false
xln;97;false;false
xln;98;false;false
xln;99;false;false
xln;100;false;false
xln;101;false;false
xln;102;false;false
xln;103;false;false
xln;104;false;false
xln;105;false;false
xln;106;false;false
xln;107;false;false
xln;108;false;false
xln;109;false;false
xln;110;false;false
xln;111;false;false
xln;112;false;false
xln;113;false;false
xln;114;false;false
xln;115;false;false
xln;116;false;false
xln;117;false;false
xln;118;false;false
xln;119;false;false
xln;120;false;false
xln;121;false;false
xln;122;false;false
xln;123;false;false
xln;124;false;false
xln;125;false;false
xln;126;false;false
xln;127;false;false
xln;128;false;false
xln;129;false;false
xln;130;false;false
xln;131;false;false
xln;132;false;false
xln;133;false;false
xln;134;false;false
xln;135;false;false
xln;136;false;false
xln;137;false;false
xln;138;false;false
xln;139;false;false
xln;140;false;false
xln;141;false;false
xln;142;false;false
xln;143;false;false
xln;144;false;false
xln;145;false;false
xln;146;false;false
xln;147;false;false
xln;148;false;false
xln;149;false;false
xln;150;false;false
xln;151;false;false
xln;152;false;false
xln;153;false;false
xln;154;false;false
xln;155;false;false
xln;156;false;false
xln;157;false;false
xln;158;false;false
xln;159;false;false
xln;160;false;false
xln;161;false;false
xln;162;false;false
xln;163;false;false
xln;164;false;false
xln;165;false;false
xln;166;false;false
xln;167;false;false
xln;168;false;false
xln;169;false;false
xln;170;false;false
xln;171;false;false
xln;172;false;false
xln;173;false;false
xln;174;false;false
xln;175;false;false
xln;176;false;false
xln;177;false;false
xln;178;false;false
xln;179;false;false
xln;180;false;false
xln;181;false;false
xln;182;false;false
xln;183;false;false
xln;184;false;false
xln;185;false;false
xln;186;false;false
xln;187;false;false
xln;188;false;false
xln;189;false;false
xln;190;false;false
xln;191;false;false
xln;192;false;false
xln;193;false;false
xln;194;false;false
xln;195;false;false
xln;196;false;false
xln;197;false;false
xln;198;false;false
xln;199;false;false
xln;200;false;false
xln;201;false;false
xln;202;false;false
xln;203;false;false
xln;204;false;false
xln;205;false;false
xln;206;false;false
xln;207;false;false
xln;208;false;false
xln;209;false;false
xln;210;false;false
xln;211;false;false
xln;212;false;false
xln;213;false;false
xln;214;false;false
xln;215;false;false
xln;216;false;false
xln;217;false;false
xln;218;false;false
xln;219;false;false
xln;220;false;false
xln;221;false;false
xln;222;false;false
xln;223;false;false
xln;224;false;false
xln;225;false;false
xln;226;false;false
xln;227;false;false
xln;228;false;false
xln;229;false;false
xln;230;false;false
xln;231;false;false
xln;232;false;false
xln;233;false;false
xln;234;false;false
xln;235;false;false
xln;236;false;false
xln;237;false;false
xln;238;false;false
xln;239;false;false
xln;240;false;false
xln;241;false;false
xln;242;false;false
xln;243;false;false
xln;244;false;false
xln;245;false;false
xln;246;false;false
xln;247;false;false
xln;248;false;false
xln;249;false;false
xln;250;false;false
xln;251;false;false
xln;252;false;false
xln;253;false;false
xln;254;false;false
xln;255;false;false
xln;256;false;false
xln;257;false;false
xln;258;false;false
xln;259;false;false
xln;260;false;false
xln;261;false;false
xln;262;false;false
xln;263;false;false
xln;264;false;false
xln;265;false;false
xln;266;false;false
xln;267;false;false
xln;268;false;false
xln;269;false;false
xln;270;false;false
xln;271;false;false
xln;272;false;false
xln;273;false;false
xln;274;false;false
xln;275;false;false
xln;276;false;false
xln;277;false;false
xln;278;false;false
xln;279;false;false
xln;280;false;false
xln;281;false;false
xln;282;false;false
xln;283;false;false
xln;284;false;false
xln;285;false;false
xln;286;false;false
xln;287;false;false
xln;288;false;false
xln;289;false;false
