set;number;no_foil;foil
yblb;1;false;false
yblb;2;false;false
yblb;3;false;false
yblb;4;false;false
yblb;5;false;false
yblb;6;false;false
yblb;7;false;false
yblb;8;false;false
yblb;9;false;false
yblb;10;false;false
yblb;11;false;false
yblb;12;false;false
yblb;13;false;false
yblb;14;false;false
yblb;15;false;false
yblb;16;false;false
yblb;17;false;false
yblb;18;false;false
yblb;19;false;false
yblb;20;false;false
yblb;21;false;false
yblb;22;false;false
yblb;23;false;false
yblb;24;false;false
yblb;25;false;false
yblb;26;false;false
yblb;27;false;false
yblb;28;false;false
yblb;29;false;false
yblb;30;false;false
