set;number;no_foil;foil
ybro;1;false;false
ybro;2;false;false
ybro;3;false;false
ybro;4;false;false
ybro;5;false;false
ybro;6;false;false
ybro;7;false;false
ybro;8;false;false
ybro;9;false;false
ybro;10;false;false
ybro;11;false;false
ybro;12;false;false
ybro;13;false;false
ybro;14;false;false
ybro;15;false;false
ybro;16;false;false
ybro;17;false;false
ybro;18;false;false
ybro;19;false;false
ybro;20;false;false
ybro;21;false;false
ybro;22;false;false
ybro;23;false;false
ybro;24;false;false
ybro;25;false;false
ybro;26;false;false
ybro;27;false;false
ybro;28;false;false
ybro;29;false;false
ybro;30;false;false
ybro;31;false;false
