set;number;no_foil;foil
ydft;1;false;false
ydft;2;false;false
ydft;3;false;false
ydft;4;false;false
ydft;5;false;false
ydft;6;false;false
ydft;7;false;false
ydft;8;false;false
ydft;9;false;false
ydft;10;false;false
ydft;11;false;false
ydft;12;false;false
ydft;13;false;false
ydft;14;false;false
ydft;15;false;false
ydft;16;false;false
ydft;17;false;false
ydft;18;false;false
ydft;19;false;false
ydft;20;false;false
ydft;21;false;false
ydft;22;false;false
ydft;23;false;false
ydft;24;false;false
ydft;25;false;false
ydft;26;false;false
ydft;27;false;false
ydft;28;false;false
ydft;29;false;false
ydft;30;false;false
