set;number;no_foil;foil
ydmu;1;false;false
ydmu;2;false;false
ydmu;3;false;false
ydmu;4;false;false
ydmu;5;false;false
ydmu;6;false;false
ydmu;7;false;false
ydmu;8;false;false
ydmu;9;false;false
ydmu;10;false;false
ydmu;11;false;false
ydmu;12;false;false
ydmu;13;false;false
ydmu;14;false;false
ydmu;15;false;false
ydmu;16;false;false
ydmu;17;false;false
ydmu;18;false;false
ydmu;19;false;false
ydmu;20;false;false
ydmu;21;false;false
ydmu;22;false;false
ydmu;23;false;false
ydmu;24;false;false
ydmu;25;false;false
ydmu;26;false;false
ydmu;27;false;false
ydmu;28;false;false
ydmu;29;false;false
ydmu;30;false;false
ydmu;32;false;false
ydmu;33;false;false
ydmu;34;false;false
ydmu;35;false;false
ydmu;36;false;false
ydmu;37;false;false
ydmu;38;false;false
ydmu;39;false;false
ydmu;40;false;false
