set;number;no_foil;foil
ylci;1;false;false
ylci;2;false;false
ylci;3;false;false
ylci;4;false;false
ylci;5;false;false
ylci;6;false;false
ylci;7;false;false
ylci;8;false;false
ylci;9;false;false
ylci;10;false;false
ylci;11;false;false
ylci;12;false;false
ylci;13;false;false
ylci;14;false;false
ylci;15;false;false
ylci;16;false;false
ylci;17;false;false
ylci;18;false;false
ylci;19;false;false
ylci;20;false;false
ylci;21;false;false
ylci;22;false;false
ylci;23;false;false
ylci;24;false;false
ylci;25;false;false
ylci;26;false;false
ylci;27;false;false
ylci;28;false;false
ylci;29;false;false
ylci;30;false;false
