set;number;no_foil;foil
yneo;1;false;false
yneo;2;false;false
yneo;3;false;false
yneo;4;false;false
yneo;5;false;false
yneo;6;false;false
yneo;7;false;false
yneo;8;false;false
yneo;9;false;false
yneo;10;false;false
yneo;11;false;false
yneo;12;false;false
yneo;13;false;false
yneo;14;false;false
yneo;15;false;false
yneo;16;false;false
yneo;17;false;false
yneo;18;false;false
yneo;19;false;false
yneo;20;false;false
yneo;21;false;false
yneo;22;false;false
yneo;23;false;false
yneo;24;false;false
yneo;25;false;false
yneo;26;false;false
yneo;27;false;false
yneo;28;false;false
yneo;29;false;false
yneo;30;false;false
