set;number;no_foil;foil
yotj;1;false;false
yotj;2;false;false
yotj;3;false;false
yotj;4;false;false
yotj;5;false;false
yotj;6;false;false
yotj;7;false;false
yotj;8;false;false
yotj;9;false;false
yotj;10;false;false
yotj;11;false;false
yotj;12;false;false
yotj;13;false;false
yotj;14;false;false
yotj;15;false;false
yotj;16;false;false
yotj;17;false;false
yotj;18;false;false
yotj;19;false;false
yotj;20;false;false
yotj;21;false;false
yotj;22;false;false
yotj;23;false;false
yotj;24;false;false
yotj;25;false;false
yotj;26;false;false
yotj;27;false;false
yotj;28;false;false
yotj;29;false;false
yotj;30;false;false
