set;number;no_foil;foil
ysnc;1;false;false
ysnc;2;false;false
ysnc;3;false;false
ysnc;4;false;false
ysnc;5;false;false
ysnc;6;false;false
ysnc;7;false;false
ysnc;8;false;false
ysnc;9;false;false
ysnc;10;false;false
ysnc;11;false;false
ysnc;12;false;false
ysnc;13;false;false
ysnc;14;false;false
ysnc;15;false;false
ysnc;16;false;false
ysnc;17;false;false
ysnc;18;false;false
ysnc;19;false;false
ysnc;20;false;false
ysnc;21;false;false
ysnc;22;false;false
ysnc;23;false;false
ysnc;24;false;false
ysnc;25;false;false
ysnc;26;false;false
ysnc;27;false;false
ysnc;28;false;false
ysnc;29;false;false
ysnc;30;false;false
