set;number;no_foil;foil
zen;1;false;false
zen;2;false;false
zen;3;false;false
zen;4;false;false
zen;5;false;false
zen;6;false;false
zen;7;false;false
zen;8;false;false
zen;9;false;false
zen;10;false;false
zen;11;false;false
zen;12;false;false
zen;13;false;false
zen;14;false;false
zen;15;false;false
zen;16;false;false
zen;17;false;false
zen;18;false;false
zen;19;false;false
zen;20;false;false
zen;21;false;false
zen;22;false;false
zen;23;false;false
zen;24;false;false
zen;25;false;false
zen;26;false;false
zen;27;false;false
zen;28;false;false
zen;29;false;false
zen;30;false;false
zen;31;false;false
zen;32;false;false
zen;33;false;false
zen;34;false;false
zen;35;false;false
zen;36;false;false
zen;37;false;false
zen;38;false;false
zen;39;false;false
zen;40;false;false
zen;41;false;false
zen;42;false;false
zen;43;false;false
zen;44;false;false
zen;45;false;false
zen;46;false;false
zen;47;false;false
zen;48;false;false
zen;49;false;false
zen;50;false;false
zen;51;false;false
zen;52;false;false
zen;53;false;false
zen;54;false;false
zen;55;false;false
zen;56;false;false
zen;57;false;false
zen;58;false;false
zen;59;false;false
zen;60;false;false
zen;61;false;false
zen;62;false;false
zen;63;false;false
zen;64;false;false
zen;65;false;false
zen;66;false;false
zen;67;false;false
zen;68;false;false
zen;69;false;false
zen;70;false;false
zen;71;false;false
zen;72;false;false
zen;73;false;false
zen;74;false;false
zen;75;false;false
zen;76;false;false
zen;77;false;false
zen;78;false;false
zen;79;false;false
zen;80;false;false
zen;81;false;false
zen;82;false;false
zen;83;false;false
zen;84;false;false
zen;85;false;false
zen;86;false;false
zen;87;false;false
zen;88;false;false
zen;89;false;false
zen;90;false;false
zen;91;false;false
zen;92;false;false
zen;93;false;false
zen;94;false;false
zen;95;false;false
zen;96;false;false
zen;97;false;false
zen;98;false;false
zen;99;false;false
zen;100;false;false
zen;101;false;false
zen;102;false;false
zen;103;false;false
zen;104;false;false
zen;105;false;false
zen;106;false;false
zen;107;false;false
zen;108;false;false
zen;109;false;false
zen;110;false;false
zen;111;false;false
zen;112;false;false
zen;113;false;false
zen;114;false;false
zen;115;false;false
zen;116;false;false
zen;117;false;false
zen;118;false;false
zen;119;false;false
zen;120;false;false
zen;121;false;false
zen;122;false;false
zen;123;false;false
zen;124;false;false
zen;125;false;false
zen;126;false;false
zen;127;false;false
zen;128;false;false
zen;129;false;false
zen;130;false;false
zen;131;false;false
zen;132;false;false
zen;133;false;false
zen;134;false;false
zen;135;false;false
zen;136;false;false
zen;137;false;false
zen;138;false;false
zen;139;false;false
zen;140;false;false
zen;141;false;false
zen;142;false;false
zen;143;false;false
zen;144;false;false
zen;145;false;false
zen;146;false;false
zen;147;false;false
zen;148;false;false
zen;149;false;false
zen;150;false;false
zen;151;false;false
zen;152;false;false
zen;153;false;false
zen;154;false;false
zen;155;false;false
zen;156;false;false
zen;157;false;false
zen;158;false;false
zen;159;false;false
zen;160;false;false
zen;161;false;false
zen;162;false;false
zen;163;false;false
zen;164;false;false
zen;165;false;false
zen;166;false;false
zen;167;false;false
zen;168;false;false
zen;169;false;false
zen;170;false;false
zen;171;false;false
zen;172;false;false
zen;173;false;false
zen;174;false;false
zen;175;false;false
zen;176;false;false
zen;177;false;false
zen;178;false;false
zen;179;false;false
zen;180;false;false
zen;181;false;false
zen;182;false;false
zen;183;false;false
zen;184;false;false
zen;185;false;false
zen;186;false;false
zen;187;false;false
zen;188;false;false
zen;189;false;false
zen;190;false;false
zen;191;false;false
zen;192;false;false
zen;193;false;false
zen;194;false;false
zen;195;false;false
zen;196;false;false
zen;197;false;false
zen;198;false;false
zen;199;false;false
zen;200;false;false
zen;201;false;false
zen;202;false;false
zen;203;false;false
zen;204;false;false
zen;205;false;false
zen;206;false;false
zen;207;false;false
zen;208;false;false
zen;209;false;false
zen;210;false;false
zen;211;false;false
zen;212;false;false
zen;213;false;false
zen;214;false;false
zen;215;false;false
zen;216;false;false
zen;217;false;false
zen;218;false;false
zen;219;false;false
zen;220;false;false
zen;221;false;false
zen;222;false;false
zen;223;false;false
zen;224;false;false
zen;225;false;false
zen;226;false;false
zen;227;false;false
zen;228;false;false
zen;229;false;false
zen;230;false;false
zen;230a;false;false
zen;231;false;false
zen;231a;false;false
zen;232;false;false
zen;232a;false;false
zen;233;false;false
zen;233a;false;false
zen;234;false;false
zen;234a;false;false
zen;235;false;false
zen;235a;false;false
zen;236;false;false
zen;236a;false;false
zen;237;false;false
zen;237a;false;false
zen;238;false;false
zen;238a;false;false
zen;239;false;false
zen;239a;false;false
zen;240;false;false
zen;240a;false;false
zen;241;false;false
zen;241a;false;false
zen;242;false;false
zen;242a;false;false
zen;243;false;false
zen;243a;false;false
zen;244;false;false
zen;244a;false;false
zen;245;false;false
zen;245a;false;false
zen;246;false;false
zen;246a;false;false
zen;247;false;false
zen;247a;false;false
zen;248;false;false
zen;248a;false;false
zen;249;false;false
zen;249a;false;false
