set;number;no_foil;foil
znc;1;false;false
znc;2;false;false
znc;3;false;false
znc;4;false;false
znc;5;false;false
znc;6;false;false
znc;7;false;false
znc;8;false;false
znc;9;false;false
znc;10;false;false
znc;11;false;false
znc;12;false;false
znc;13;false;false
znc;14;false;false
znc;15;false;false
znc;16;false;false
znc;17;false;false
znc;18;false;false
znc;19;false;false
znc;20;false;false
znc;21;false;false
znc;22;false;false
znc;23;false;false
znc;24;false;false
znc;25;false;false
znc;26;false;false
znc;27;false;false
znc;28;false;false
znc;29;false;false
znc;30;false;false
znc;31;false;false
znc;32;false;false
znc;33;false;false
znc;34;false;false
znc;35;false;false
znc;36;false;false
znc;37;false;false
znc;38;false;false
znc;39;false;false
znc;40;false;false
znc;41;false;false
znc;42;false;false
znc;43;false;false
znc;44;false;false
znc;45;false;false
znc;46;false;false
znc;47;false;false
znc;48;false;false
znc;49;false;false
znc;50;false;false
znc;51;false;false
znc;52;false;false
znc;53;false;false
znc;54;false;false
znc;55;false;false
znc;56;false;false
znc;57;false;false
znc;58;false;false
znc;59;false;false
znc;60;false;false
znc;61;false;false
znc;62;false;false
znc;63;false;false
znc;64;false;false
znc;65;false;false
znc;66;false;false
znc;67;false;false
znc;68;false;false
znc;69;false;false
znc;70;false;false
znc;71;false;false
znc;72;false;false
znc;73;false;false
znc;74;false;false
znc;75;false;false
znc;76;false;false
znc;77;false;false
znc;78;false;false
znc;79;false;false
znc;80;false;false
znc;81;false;false
znc;82;false;false
znc;83;false;false
znc;84;false;false
znc;85;false;false
znc;86;false;false
znc;87;false;false
znc;88;false;false
znc;89;false;false
znc;90;false;false
znc;91;false;false
znc;92;false;false
znc;93;false;false
znc;94;false;false
znc;95;false;false
znc;96;false;false
znc;97;false;false
znc;98;false;false
znc;99;false;false
znc;100;false;false
znc;101;false;false
znc;102;false;false
znc;103;false;false
znc;104;false;false
znc;105;false;false
znc;106;false;false
znc;107;false;false
znc;108;false;false
znc;109;false;false
znc;110;false;false
znc;111;false;false
znc;112;false;false
znc;113;false;false
znc;114;false;false
znc;115;false;false
znc;116;false;false
znc;117;false;false
znc;118;false;false
znc;119;false;false
znc;120;false;false
znc;121;false;false
znc;122;false;false
znc;123;false;false
znc;124;false;false
znc;125;false;false
znc;126;false;false
znc;127;false;false
znc;128;false;false
znc;129;false;false
znc;130;false;false
znc;131;false;false
znc;132;false;false
znc;133;false;false
znc;134;false;false
znc;135;false;false
znc;136;false;false
znc;137;false;false
znc;138;false;false
znc;139;false;false
znc;140;false;false
znc;141;false;false
znc;142;false;false
