set;number;no_foil;foil
zne;1;false;false
zne;2;false;false
zne;3;false;false
zne;4;false;false
zne;5;false;false
zne;6;false;false
zne;7;false;false
zne;8;false;false
zne;9;false;false
zne;10;false;false
zne;11;false;false
zne;12;false;false
zne;13;false;false
zne;14;false;false
zne;15;false;false
zne;16;false;false
zne;17;false;false
zne;18;false;false
zne;19;false;false
zne;20;false;false
zne;21;false;false
zne;22;false;false
zne;23;false;false
zne;24;false;false
zne;25;false;false
zne;26;false;false
zne;27;false;false
zne;28;false;false
zne;29;false;false
zne;30;false;false
